name,artist,start time,end time,playtime,deck,,bpm,key,year,genre,bitrate,song,album
long dj set,,12/18/2021 17:36,12/18/2021 20:53,3:17:18,,,,,,,,long dj set,
Get Into It (Yuh),Doja Cat,5:36:02 PM,5:40:07 PM,0:04:05,1,,92,G#m,2021,Pop,,Get Into It (Yuh),Planet Her (Deluxe)
I Need A Girl (Uki Remix),P Diddy (feat Usher),5:38:29 PM,5:41:09 PM,0:02:40,2,,92,Ebm,2018,Other,,I Need A Girl (Uki Remix),Uki's Bootleg & Edit Pack Vol.1
Smokin Out The Window - Anthem Kingz What's The Difference Edit (Dirty),Silk Sonic,5:40:07 PM,5:42:27 PM,0:02:20,1,,92,Bm,2021,Hip Hop,,Smokin Out The Window - Anthem Kingz What's The Difference Edit (Dirty),
Up (DJ Bizzon Mirage Bootleg) DIRTY,Cardi B,5:41:12 PM,5:41:26 PM,0:00:14,2,,93,Em,2021,Other,,Up (DJ Bizzon Mirage Bootleg) DIRTY,DJ Bizzon Patreon - Auguest 2021
Get Up!,DJU DJU x 50 Cent,5:41:26 PM,5:41:29 PM,0:00:03,2,,93,G#m,2020,Other,,Get Up!,Flips
Get Up!,DJU DJU x 50 Cent,5:41:29 PM,5:44:14 PM,0:02:45,2,,93,G#m,2020,Other,,Get Up!,Flips
J Cole ft TLC - Crooked Smike - The Dj Mike D Throwback Mix (Creep) Mixshow Edit,J Cole (feat TLC),5:42:27 PM,5:42:42 PM,0:00:15,1,,93,G,,Other,,J Cole ft TLC - Crooked Smike - The Dj Mike D Throwback Mix (Creep) Mixshow Edit,
Wockesha (XMiX Remix) (No Hype Edit) (Dirty),Moneybagg Yo feat. Lil Wayne,5:42:42 PM,5:46:08 PM,0:03:26,1,,93,Em,2021,Urban,,Wockesha (XMiX Remix) (No Hype Edit) (Dirty),XMiX Urban & Club Series 276 (Oct 2021 - Part 1)
wantuaround flip,austin marc,5:44:16 PM,5:46:44 PM,0:02:28,2,,94,G#m,2020,Other,,wantuaround flip,2020 edits
