"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","song","album"
"normal dj set","","12/12/2021 8:49:44 PM","12/15/2021 8:03:38 PM","71:13:54","","","","","","","","normal dj set",""
"Loser (Full Tilt Remix)","Beck","4:08:02 PM","4:16:46 PM","00:08:44","1","","85","Bm","2006","Other","","Loser (Full Tilt Remix)","Full Tilt Flashbacks - Vol 1"
"Loser (Full Tilt Remix)","Beck","4:08:03 PM","4:14:09 PM","00:06:06","2","","85","Bm","2006","Other","","Loser (Full Tilt Remix)","Full Tilt Flashbacks - Vol 1"
"Use Me (Epidemic Edit)","Bill Withers","4:14:09 PM","4:14:30 PM","00:00:21","2","","85","Em","2011","Club","","Use Me (Epidemic Edit)","Epidemic Rock & Pop Edit Pack"
"Just a Friend (SE) (Phase Edit)","Biz Markie","4:14:33 PM","4:14:49 PM","00:00:16","2","","85","Gm","1989","Hip-Hop","","Just a Friend (SE) (Phase Edit)","www.BarBangerz.com"
"Just A Friend (MCB X-Mix Edit)","Biz Markie","4:14:49 PM","4:17:47 PM","00:02:58","2","","85","Gm","1989","Other","","Just A Friend (MCB X-Mix Edit)",""
"Juicy (MCB Chartbusters Edit)","Doja Cat (feat Tyga)","4:16:46 PM","4:19:02 PM","00:02:16","1","","85","Am","2020","Other","","Juicy (MCB Chartbusters Edit)",""
"WIndow Seat (DJ Bizzon x Vitamin D Step Into The Light Bootleg) CLEAN","Erykah Badu","4:17:47 PM","4:18:03 PM","00:00:16","2","","85","A","","","","WIndow Seat (DJ Bizzon x Vitamin D Step Into The Light Bootleg) CLEAN",""
"Dirt Off The King (f r a n c h i s e. Instrumental Edit)","Franchise.","4:18:07 PM","4:19:45 PM","00:01:38","2","","85","Dm","2019","Other","","Dirt Off The King (f r a n c h i s e. Instrumental Edit)","Remixes & Edits Vol. IV"
"Heat Waves (PeteDown Flavor Edit) (XMiX Xpress Edit)","Glass Animals","4:19:04 PM","4:20:53 PM","00:01:49","1","","85","C#m","2021","Top 40","","Heat Waves (PeteDown Flavor Edit) (XMiX Xpress Edit)","XMiX Xpress Remix Series (May 2021 - Week 3)"
"Call On Me (Shootin Shots Bootleg) CLEAN","Janet Jackson","4:19:51 PM","4:21:45 PM","00:01:54","2","","85","Bbm","","","","Call On Me (Shootin Shots Bootleg) CLEAN",""
"Moody! (feat. Saba)","Jean Deaux","4:20:57 PM","4:22:44 PM","00:01:47","1","","85","Am","2020","Hip-Hop/Rap","","Moody! (feat. Saba)","Moody! (feat. Saba) - Single"
"Cant Tell Me Nothing (DJ Bizzon Shine Bootleg) DIRTY","Kanye West","4:22:03 PM","4:24:31 PM","00:02:28","2","","85","F#m","","","","Cant Tell Me Nothing (DJ Bizzon Shine Bootleg) DIRTY",""
