"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","song","album"
"normal hip hop set","","12/10/2021 5:23:55 PM","12/10/2021 8:13:19 PM","02:49:24","","","","","","","","normal hip hop set",""
"Like A Pimp (DJ Bizzon Rose Gold Stripper Pole Bootleg) DIRTY","David Banner","7:22:00 PM","7:23:17 PM","00:01:17","1","","75","Ebm","","","","Like A Pimp (DJ Bizzon Rose Gold Stripper Pole Bootleg) DIRTY",""
"PONY x CAN I LIVE (NICK BIKE BLEND)","GINUWINE x JAY-Z","7:22:36 PM","7:24:19 PM","00:01:43","2","","75","G#m","","","","PONY x CAN I LIVE (NICK BIKE BLEND)",""
"Sharing Locations (XMiX Remix) (No Hype Edit) (Dirty)","Meek Mill feat. Lil Baby & Lil Durk","7:23:17 PM","7:26:04 PM","00:02:47","1","","76","Ebm","2021","Urban","","Sharing Locations (XMiX Remix) (No Hype Edit) (Dirty)","XMiX Urban & Club Series 277 (Nov 2021 - Part 2)"
"Purple Lamborghini - Bodykit Remix (Dirty)","Skrillex & Rick Ross","7:24:19 PM","7:24:56 PM","00:00:37","2","","76","Ebm","2021","Other","","Purple Lamborghini - Bodykit Remix (Dirty)",""
"crew luv","austin marc","7:24:56 PM","7:25:21 PM","00:00:25","2","","77","Fm","2020","","","crew luv","2020 edits"
"$501 ounces","austin marc","7:25:21 PM","7:25:41 PM","00:00:20","2","","77","Am","2020","","","$501 ounces","2020 edits"
"crew luv","austin marc","7:25:41 PM","7:27:04 PM","00:01:23","2","","77","Fm","2020","","","crew luv","2020 edits"
"Press Play","Ivy Lab","7:26:04 PM","7:28:46 PM","00:02:42","1","","78","Ebm","2021","Breakbeat","","Press Play","Press Play - EP"
"Hello","Krystall Poppin","7:27:09 PM","7:30:11 PM","00:03:02","2","","79","Ab","2020","Rap","","Hello","Hello - Single"
