name,artist,start time,end time,playtime,deck,,song,bpm,key,year,genre,bitrate,comment,length,label,album
normal_dj_set,,4/3/2022 21:36,4/3/2022 23:45,2:08:54,,,normal_dj_set,,,,,,,2:08:54,,
I Need A Girl (Uki Remix),P Diddy (feat Usher),9:37:15 PM,9:40:49 PM,0:03:34,1,,I Need A Girl (Uki Remix),92,Ebm,2018,Other,,Visit https://ukimusik.bandcamp.com,,,Uki's Bootleg & Edit Pack Vol.1
Smokin Out The Window - Anthem Kingz What's The Difference Edit (Dirty),Silk Sonic,9:39:08 PM,9:42:18 PM,0:03:10,2,,Smokin Out The Window - Anthem Kingz What's The Difference Edit (Dirty),92,Bm,2021,Hip Hop,,,,,
mrs. controlla,austin marc,9:40:49 PM,9:45:26 PM,0:04:37,1,,mrs. controlla,93,Ebm,2020,Other,,Visit https://austinmarc.bandcamp.com,,,2020 edits
Get Up!,DJU DJU x 50 Cent,9:42:42 PM,9:46:53 PM,0:04:11,2,,Get Up!,93,G#m,2020,Other,,Visit https://djudju2.bandcamp.com,,,Flips
I Got to Have It,Ed O.G. & Da Bulldogs,9:45:32 PM,9:48:48 PM,0:03:16,1,,I Got to Have It,93,G#m,1991,R&B/Soul,,,,,Life of a Kid In the Ghetto
The Most Beautifullest Thing In This World (LNRP Mixshow Edit) (Dirty),Keith Murray,9:47:08 PM,9:50:54 PM,0:03:46,2,,The Most Beautifullest Thing In This World (LNRP Mixshow Edit) (Dirty),93,Em,1995,Other,,www.latenightrecordpool.com,,,The Most Beautifulest Thing in the World CDS
Whatcha Gonna Do (LNRP Mixshow Edit) (Clean),Jayo Felony,9:48:48 PM,9:53:50 PM,0:05:02,1,,Whatcha Gonna Do (LNRP Mixshow Edit) (Clean),93,Ebm,1998,Rap,,www.latenightrecordpool.com,,,Whatcha Gonna Do CDS
Wockesha (XMiX Remix) (No Hype Edit) (Dirty),Moneybagg Yo feat. Lil Wayne,9:50:54 PM,9:55:30 PM,0:04:36,2,,Wockesha (XMiX Remix) (No Hype Edit) (Dirty),93,Em,2021,Urban,,Remix & Additional Production by DJ Ready Rock,,,XMiX Urban & Club Series 276 (Oct 2021 - Part 1)
Girl Blunt,Leikeli47,9:54:16 PM,9:58:17 PM,0:04:01,1,,Girl Blunt,94,Cm,2018,Hip-Hop/Rap,,,,,"Insecure: Music from the HBO Original Series, Season 3"
Paper Planes (Naken Edit),M.I.A.,9:55:30 PM,10:00:00 PM,0:04:30,2,,Paper Planes (Naken Edit),94,Am,2020,Other,,Visit https://naken19.bandcamp.com,,,CLUB TOOLS Vol.1 (Edit Pack)
You Know You Like It (Dj Mike D Intro Mix),DJ Snake & AlunaGeorge,9:58:33 PM,10:02:12 PM,0:03:39,1,,You Know You Like It (Dj Mike D Intro Mix),98,Cm,,Other,,Made with ACID Pro 7.0,,,
Bring em out (A.Skillz Sledgehammer edit),A.Skillz,10:00:33 PM,10:06:48 PM,0:06:15,2,,Bring em out (A.Skillz Sledgehammer edit),98,Eb,2022,,,Visit https://askillz.bandcamp.com,,,Bring em out (A.Skillz Sledgehammer edit)
Drop It Like It's Hot (Rhythm Scholar Pastel Pimp Remix)[Explicit],Snoop Dogg,10:02:12 PM,10:08:36 PM,0:06:24,1,,Drop It Like It's Hot (Rhythm Scholar Pastel Pimp Remix)[Explicit],97,Am,,,,,,,www.rhythmscholar.com
Girls Around The World (Radio Edit),Lloyd (feat Lil Wayne),10:06:48 PM,10:11:43 PM,0:04:55,2,,Girls Around The World (Radio Edit),98,Gm,,Other,,6A - 98,,,X-Mix Urban Radioactive June 
Poke It Out (XMiX Remix) (No Hype Edit) (Dirty),Wale feat. J. Cole x Q-Tip,10:08:36 PM,10:15:28 PM,0:06:52,1,,Poke It Out (XMiX Remix) (No Hype Edit) (Dirty),99,C#m,2021,Urban,,Remix & Additional Production by Greg 'Triggerhits' Dobrolsky,,,XMiX Urban & Club Series 276 (Oct 2021 - Part 2)
Zhane - Sending My Love (The London Bootleg) CLEAN,,10:11:43 PM,10:17:13 PM,0:05:30,2,,Zhane - Sending My Love (The London Bootleg) CLEAN,98,Em,,,,,,,
Money Aint A Thang X 7 Minutes Of Funk (DJ A-L Blend),DJ A-L,10:15:28 PM,10:18:28 PM,0:03:00,1,,Money Aint A Thang X 7 Minutes Of Funk (DJ A-L Blend),99,Bm,2021,,,Visit https://retro-respect.bandcamp.com,,,Classic Combinations [DJ A-L Blend Compilation]
Dont Tell 'Em - DJ Bizzon Animalz Edit (Dirty),Jeremih ft. YG,10:17:13 PM,10:21:24 PM,0:04:11,2,,Dont Tell 'Em - DJ Bizzon Animalz Edit (Dirty),99,Dm,2021,R&B,,,,,
Dance Tonight (SE) (Phase Edit),Lucy Pearl,10:18:28 PM,10:22:13 PM,0:03:45,1,,Dance Tonight (SE) (Phase Edit),99,Fm,2000,R&B,,,,,www.BarBangerz.com
Starboy vs. You Can Do It (XMiX Xpress Mashup),The Weeknd feat. Daft Punk vs. Ice Cube,10:21:24 PM,10:24:14 PM,0:02:50,2,,Starboy vs. You Can Do It (XMiX Xpress Mashup),99,Am,2016,Mash Up,,Remix and Additional Production by DJ Wild Bill & Cosmic Dawn,,,XMiX Xpress Remix Series (Nov 2016)
"Murder She Wrote - DJ Fasta, Greg Lassierra & DJ Moiz Remix",Chaka Demus & Pliers,10:22:13 PM,10:26:47 PM,0:04:34,1,,"Murder She Wrote - DJ Fasta, Greg Lassierra & DJ Moiz Remix",100,Dm,2021,Reggae,,,,,
Sunshine,Crash Party,10:24:14 PM,10:29:39 PM,0:05:25,2,,Sunshine,,E,2022,,,Visit https://crashparty.bandcamp.com,,,RMX Vol.1
