name,artist,start time,end time,playtime,deck,,bpm,key,year,genre,bitrate,song,album
set with doubles and full values,,12/7/2021 21:25,12/9/2021 22:33,47:13:01,,,,,,,,set with doubles and full values,
Linus And Lucy [Nappy DJ Needles Re-Edit],Vince Guaraldi Trio,9:25:21 PM,9:30:13 PM,0:04:52,1,,82,Ab,2015,,,Linus And Lucy [Nappy DJ Needles Re-Edit],
Linus And Lucy [Nappy DJ Needles Re-Edit],Vince Guaraldi Trio,9:26:27 PM,9:29:47 PM,0:03:20,2,,82,Ab,2015,,,Linus And Lucy [Nappy DJ Needles Re-Edit],
ooh la la (feat. Greg Nice & DJ Premier),Run The Jewels,9:29:47 PM,9:33:31 PM,0:03:44,2,,85,Em,2020,Hip-Hop/Rap,,ooh la la (feat. Greg Nice & DJ Premier),RTJ4
Welcome To The Party (Dirty),"Diplo, French Montana & Lil Pump feat. Zhavia Ward",9:30:13 PM,9:34:56 PM,0:04:43,1,,86,Dm,2018,Urban,,Welcome To The Party (Dirty),XMiX Digital Single
Footsteps In The Dark (Nick Bike's 'Into You' Edit),The Isley Brothers x Fabolous x Tamia,9:33:31 PM,9:33:49 PM,0:00:18,2,,91,Bm,,Other,,Footsteps In The Dark (Nick Bike's 'Into You' Edit),
Scorpio (XMiX Remix) (No Hype Edit) (Dirty),Moneybagg Yo x DMX,9:33:49 PM,9:36:41 PM,0:02:52,2,,85,F#m,2021,Urban,,Scorpio (XMiX Remix) (No Hype Edit) (Dirty),XMiX Urban & Club Series 277 (Nov 2021 - Part 2)
Wockesha - KidCutUp Throwback Intro (Dirty),Moneybagg Yo,9:34:56 PM,9:38:50 PM,0:03:54,1,,85,Am,2021,Hip Hop,,Wockesha - KidCutUp Throwback Intro (Dirty),
Get Ur Freak On (Bacon Takes Pelham Rmx),DJ BACON,9:36:41 PM,9:40:00 PM,0:03:19,2,,88,Ebm,2021,,,Get Ur Freak On (Bacon Takes Pelham Rmx),
Bonita Applebum (Nick Bike's 'Into You' Edit),A Tribe Called Quest x Fabolous x Tamia,9:38:50 PM,9:43:16 PM,0:04:26,1,,91,Cm,,Other,,Bonita Applebum (Nick Bike's 'Into You' Edit),
Up (XMiX Remix) (No Hype Edit) (Dirty),Cardi B,9:41:27 PM,9:43:48 PM,0:02:21,2,,91,Em,2021,Urban,,Up (XMiX Remix) (No Hype Edit) (Dirty),XMiX Urban & Club Series 268 (Feb 2021 - Part 2)
Mr. Me Too (feat. Pharrell Williams),Clipse,9:43:16 PM,9:45:08 PM,0:01:52,1,,91,Abm,2006,Hip-Hop/Rap,,Mr. Me Too (feat. Pharrell Williams),Mr. Me Too (feat. Pharrell Williams) - Single
The Meters - Cissy Strut (DJP Edit),djp,9:43:48 PM,9:47:17 PM,0:03:29,2,,91,Am,2016,,,The Meters - Cissy Strut (DJP Edit),
The Meters - Cissy Strut (DJP Edit),djp,9:45:08 PM,9:46:33 PM,0:01:25,1,,91,Am,2016,,,The Meters - Cissy Strut (DJP Edit),
DMX  - Ruff Ryders Anthem (Eric D-Lux & Julian R Twerk RMX - Super Short Edit),DMX,9:46:33 PM,9:47:02 PM,0:00:29,1,,91,Bbm,2014,Hip Hop,,DMX  - Ruff Ryders Anthem (Eric D-Lux & Julian R Twerk RMX - Super Short Edit),DMS | Drew Pierce
I'm Loaded (Dirty),Droop-E (feat E-40),9:47:02 PM,9:47:10 PM,0:00:08,1,,91,Am,,Other,,I'm Loaded (Dirty),
