"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"regular_mcb_set","","10/30/2021 6:24:42 PM","11/1/2021 4:23:26 PM","45:58:44","","","regular_mcb_set","","","",""
"Poke It Out (MCB Mixshow Edit)","Wale (feat J Cole)","6:39:50 PM","6:43:01 PM","00:03:11","1","","Poke It Out (MCB Mixshow Edit)","99","G#m","2021","Other"
"Party Up (Stan Brega & Nick Bike Remix) (Clean)","DMX","6:41:51 PM","6:44:28 PM","00:02:37","2","","Party Up (Stan Brega & Nick Bike Remix) (Clean)","101","Am","","Other"
"Crossover (LNRP Mixshow Edit) (Clean)","EPMD","6:43:01 PM","6:45:30 PM","00:02:29","1","","Crossover (LNRP Mixshow Edit) (Clean)","101","Ebm","1992","Hip-Hop"
"The Message (Intro Clean)","Grandmaster Flash & The Furious Five","6:44:28 PM","6:46:41 PM","00:02:13","2","","The Message (Intro Clean)","101","G#m","1982","Hip Hop"
"Bouncin (Intro - Clean)","Kiana Lede ft. Offset","6:45:30 PM","6:47:22 PM","00:01:52","1","","Bouncin (Intro - Clean)","101","Eb","2019","Hip Hop"
"Maybe So, Maybe No","Mayer Hawthorne","6:46:41 PM","6:46:52 PM","00:00:11","2","","Maybe So, Maybe No","101","Ebm","","Other"
"Baby Don't Forget My Number ","Milli Vanilli","6:46:52 PM","6:49:05 PM","00:02:13","2","","Baby Don't Forget My Number ","101","Em","1988","80's Pop"
"Back to the Hotel (LNRP Mixshow Edit) (Dirty)","N2deep","6:47:24 PM","6:50:26 PM","00:03:02","1","","Back to the Hotel (LNRP Mixshow Edit) (Dirty)","101","Em","1992","Rap"
"Off the Books (LP Version)","The Beatnuts (feat Big Pun & Cuban Link)","6:49:05 PM","6:51:09 PM","00:02:04","2","","Off the Books (LP Version)","101","F#m","2009","Hip-Hop/Rap"
"U Remind Me (Don Mayor 2020 Edit)","Usher","6:50:26 PM","6:52:43 PM","00:02:17","1","","U Remind Me (Don Mayor 2020 Edit)","101","F#","2020",""
"Criminal Set","Xzibit","6:51:09 PM","6:51:25 PM","00:00:16","2","","Criminal Set","101","Em","2004","Hip-Hop/Rap"
"Yup! (Get On The Dance Floor) (Nick Bike '808 Thunder' break)","Zapp","6:51:25 PM","6:51:45 PM","00:00:20","2","","Yup! (Get On The Dance Floor) (Nick Bike '808 Thunder' break)","101","Dm","",""
"Scenario (DIRTY) (MM Edit)","A Tribe Called Quest","6:51:45 PM","6:52:01 PM","00:00:16","2","","Scenario (DIRTY) (MM Edit)","102","Am","1991","90s Hip Hop Bboy #BOOMBAP"
"Baby I (Intro)","Ariana Grande","6:52:01 PM","6:53:41 PM","00:01:40","2","","Baby I (Intro)","102","G#m","2013","Other"
"No Diggity - DJ Smerk Rock The Bells Bootleg","Blackstreet","6:52:43 PM","7:53:55 PM","01:01:12","1","","No Diggity - DJ Smerk Rock The Bells Bootleg","102","F#m","","Other"
"The Phuncky Feel One (LNRP Mixshow Edit) (Clean)","Cypress Hill","6:53:41 PM","7:54:40 PM","01:00:59","2","","The Phuncky Feel One (LNRP Mixshow Edit) (Clean)","102","Ebm","1991","Old School"
"Set It Off (XMiX Edit)","Strafe","7:53:55 PM","7:54:06 PM","00:00:11","1","","Set It Off (XMiX Edit)","112","Am","2020","Party Classic"
"I'll Be Around 2020 [The Reflex Revision]","The Reflex","7:54:06 PM","7:55:40 PM","00:01:34","1","","I'll Be Around 2020 [The Reflex Revision]","112","Abm","2020",""
"Bounce, Rock, Chic! (Nick Bike 'Good Times' Edit)","Vaughan Mason & Crew","7:54:40 PM","7:57:56 PM","00:03:16","2","","Bounce, Rock, Chic! (Nick Bike 'Good Times' Edit)","112","A","",""
"I Get the Job Done","Big Daddy Kane","7:55:40 PM","7:59:24 PM","00:03:44","1","","I Get the Job Done","113","G#m","1989","Hip-Hop/Rap"
"I Know You Got Soul (LNRP Mixshow Edit) (Clean)","Bobby Byrd","7:57:56 PM","7:58:23 PM","00:00:27","2","","I Know You Got Soul (LNRP Mixshow Edit) (Clean)","113","E","1971","Other"
"All Night (Digital Dave Everybody Edit - Clean) ","Chance The Rapper  ","7:58:23 PM","7:58:35 PM","00:00:12","2","","All Night (Digital Dave Everybody Edit - Clean) ","113","Em","2017","Other"
"All Night (Digital Dave Everybody Edit - Clean) ","Chance The Rapper  ","7:58:35 PM","8:00:23 PM","00:01:48","2","","All Night (Digital Dave Everybody Edit - Clean) ","113","Em","2017","Other"
"Busta Rhymes - Don't Touch Me (DJ Son Blends)","DJ Son","7:59:24 PM","8:01:47 PM","00:02:23","1","","Busta Rhymes - Don't Touch Me (DJ Son Blends)","113","Dm","2021",""
"Adina Howard x Souls Of Mischief - 93 FREAKS (Double A 'from The Bay' Flip)","dØ𝔲𝔟ʟ𝔢 ₳ ‘𝚏𝚛𝚘𝚖 𝚃𝚑𝚎 𝙱𝚊𝚢’","8:00:23 PM","8:02:27 PM","00:02:04","2","","Adina Howard x Souls Of Mischief - 93 FREAKS (Double A 'from The Bay' Flip)","113","Fm","2020",""
