"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"normal_dj_set","","4/3/2022 9:36:42 PM","4/3/2022 11:45:36 PM","02:08:54","","","normal_dj_set","","","",""
"I Need A Girl (Uki Remix)","P Diddy (feat Usher)","9:37:15 PM","9:40:49 PM","00:03:34","1","","I Need A Girl (Uki Remix)","92","Ebm","2018","Other"
"Smokin Out The Window - Anthem Kingz What's The Difference Edit (Dirty)","Silk Sonic","9:39:08 PM","9:42:18 PM","00:03:10","2","","Smokin Out The Window - Anthem Kingz What's The Difference Edit (Dirty)","92","Bm","2021","Hip Hop"
"mrs. controlla","austin marc","9:40:49 PM","9:45:26 PM","00:04:37","1","","mrs. controlla","93","Ebm","2020","Other"
"Get Up!","DJU DJU x 50 Cent","9:42:42 PM","9:46:53 PM","00:04:11","2","","Get Up!","93","G#m","2020","Other"
"I Got to Have It","Ed O.G. & Da Bulldogs","9:45:32 PM","9:48:48 PM","00:03:16","1","","I Got to Have It","93","G#m","1991","R&B/Soul"
"The Most Beautifullest Thing In This World (LNRP Mixshow Edit) (Dirty)","Keith Murray","9:47:08 PM","9:50:54 PM","00:03:46","2","","The Most Beautifullest Thing In This World (LNRP Mixshow Edit) (Dirty)","93","Em","1995","Other"
"Whatcha Gonna Do (LNRP Mixshow Edit) (Clean)","Jayo Felony","9:48:48 PM","9:53:50 PM","00:05:02","1","","Whatcha Gonna Do (LNRP Mixshow Edit) (Clean)","93","Ebm","1998","Rap"
"Wockesha (XMiX Remix) (No Hype Edit) (Dirty)","Moneybagg Yo feat. Lil Wayne","9:50:54 PM","9:55:30 PM","00:04:36","2","","Wockesha (XMiX Remix) (No Hype Edit) (Dirty)","93","Em","2021","Urban"
"Girl Blunt","Leikeli47","9:54:16 PM","9:58:17 PM","00:04:01","1","","Girl Blunt","94","Cm","2018","Hip-Hop/Rap"
"Paper Planes (Naken Edit)","M.I.A.","9:55:30 PM","10:00:00 PM","00:04:30","2","","Paper Planes (Naken Edit)","94","Am","2020","Other"
"You Know You Like It (Dj Mike D Intro Mix)","DJ Snake & AlunaGeorge","9:58:33 PM","10:02:12 PM","00:03:39","1","","You Know You Like It (Dj Mike D Intro Mix)","98","Cm","","Other"
"Bring em out (A.Skillz Sledgehammer edit)","A.Skillz","10:00:33 PM","10:06:48 PM","00:06:15","2","","Bring em out (A.Skillz Sledgehammer edit)","98","Eb","2022",""
"Drop It Like It's Hot (Rhythm Scholar Pastel Pimp Remix)[Explicit]","Snoop Dogg","10:02:12 PM","10:08:36 PM","00:06:24","1","","Drop It Like It's Hot (Rhythm Scholar Pastel Pimp Remix)[Explicit]","97","Am","",""
"Girls Around The World (Radio Edit)","Lloyd (feat Lil Wayne)","10:06:48 PM","10:11:43 PM","00:04:55","2","","Girls Around The World (Radio Edit)","98","Gm","","Other"
"Poke It Out (XMiX Remix) (No Hype Edit) (Dirty)","Wale feat. J. Cole x Q-Tip","10:08:36 PM","10:15:28 PM","00:06:52","1","","Poke It Out (XMiX Remix) (No Hype Edit) (Dirty)","99","C#m","2021","Urban"
"Zhane - Sending My Love (The London Bootleg) CLEAN","Zhane","10:11:43 PM","10:17:13 PM","00:05:30","2","","Zhane - Sending My Love (The London Bootleg) CLEAN","98","Em","",""
"Money Aint A Thang X 7 Minutes Of Funk (DJ A-L Blend)","DJ A-L","10:15:28 PM","10:18:28 PM","00:03:00","1","","Money Aint A Thang X 7 Minutes Of Funk (DJ A-L Blend)","99","Bm","2021",""
"Dont Tell 'Em - DJ Bizzon Animalz Edit (Dirty)","Jeremih ft. YG","10:17:13 PM","10:21:24 PM","00:04:11","2","","Dont Tell 'Em - DJ Bizzon Animalz Edit (Dirty)","99","Dm","2021","R&B"
"Dance Tonight (SE) (Phase Edit)","Lucy Pearl","10:18:28 PM","10:22:13 PM","00:03:45","1","","Dance Tonight (SE) (Phase Edit)","99","Fm","2000","R&B"
"Starboy vs. You Can Do It (XMiX Xpress Mashup)","The Weeknd feat. Daft Punk vs. Ice Cube","10:21:24 PM","10:24:14 PM","00:02:50","2","","Starboy vs. You Can Do It (XMiX Xpress Mashup)","99","Am","2016","Mash Up"
"Murder She Wrote - DJ Fasta, Greg Lassierra & DJ Moiz Remix","Chaka Demus & Pliers","10:22:13 PM","10:26:47 PM","00:04:34","1","","Murder She Wrote - DJ Fasta, Greg Lassierra & DJ Moiz Remix","100","Dm","2021","Reggae"
"Sunshine","Crash Party","10:24:14 PM","10:29:39 PM","00:05:25","2","","Sunshine","100","E","2022",""
"Let Me Blow Ya Mind - Kerry Glass Remix (Clean)","Eve ft. Gwen Stefani","10:26:47 PM","10:30:43 PM","00:03:56","1","","Let Me Blow Ya Mind - Kerry Glass Remix (Clean)","100","Abm","","Other"
"Bang It To The Curb (Intro - Dirty)","FM & Sidney Samson","10:29:39 PM","10:34:00 PM","00:04:21","2","","Bang It To The Curb (Intro - Dirty)","100","Cm","","Other"
"Roses","The Chainsmokers ft. Rozes","10:30:43 PM","10:35:55 PM","00:05:12","1","","Roses","100","E","","Other"
"Off the Books (LP Version)","The Beatnuts (feat Big Pun & Cuban Link)","10:34:28 PM","10:38:17 PM","00:03:49","2","","Off the Books (LP Version)","101","Bm","2009","Hip-Hop/Rap"
"No Diggity - DJ Smerk Rock The Bells Bootleg","Blackstreet","10:36:51 PM","10:39:59 PM","00:03:08","1","","No Diggity - DJ Smerk Rock The Bells Bootleg","102","F#m","","Other"
"Stand Up - DJ Bizzon Go Mode Edit (Dirty)","Ludacris ft. Shawnna","10:38:36 PM","10:41:18 PM","00:02:42","2","","Stand Up - DJ Bizzon Go Mode Edit (Dirty)","102","G#m","2022","Hip Hop"
"Stand Up - DJ Bizzon Go Mode Edit (Dirty)","Ludacris ft. Shawnna","10:41:11 PM","10:43:02 PM","00:01:51","1","","Stand Up - DJ Bizzon Go Mode Edit (Dirty)","102","G#m","2022","Hip Hop"
"R U That (DJcity Intro - Dirty)","Shenseea ft. 21 Savage","10:41:18 PM","10:44:27 PM","00:03:09","2","","R U That (DJcity Intro - Dirty)","102","Fm","2022","R&B"
"Wake Up In It (Intro - Clean)","Mally Mall ft. Tyga, Pusha T, French Montana, & Sean Kingston","10:43:02 PM","10:45:49 PM","00:02:47","1","","Wake Up In It (Intro - Clean)","102","Bb","","Other"
"Gas Pedal - MarkCutz Remix (Dirty)","Sage The Gemini ","10:44:27 PM","10:47:27 PM","00:03:00","2","","Gas Pedal - MarkCutz Remix (Dirty)","102","Cm","2021","Hip Hop"
"Cat Daddy (Intro - Dirty)","The Rejectz","10:46:11 PM","10:49:53 PM","00:03:42","1","","Cat Daddy (Intro - Dirty)","102","Am","","Other"
"Beautiful LIes (Beat Thrillez Remix Dirty)","Yung Bleu & Kehlani","10:47:44 PM","10:51:27 PM","00:03:43","2","","Beautiful LIes (Beat Thrillez Remix Dirty)","102","G#m","2022","Pop"
"The Motto (Nick Bike's Housin' Edit)(Dirty)","Drake ft. Lil Wayne","10:49:58 PM","10:52:55 PM","00:02:57","1","","The Motto (Nick Bike's Housin' Edit)(Dirty)","103","Am","","Other"
"Tambourine - Richastic Remix (Intro - Clean)","Eve","10:51:27 PM","10:55:03 PM","00:03:36","2","","Tambourine - Richastic Remix (Intro - Clean)","103","Cm","2021","Other"
"Bow Wow Wow (MCB MIxshow Edit Clean)","Funkdoobiest","10:53:41 PM","10:56:33 PM","00:02:52","1","","Bow Wow Wow (MCB MIxshow Edit Clean)","103","Gm","1993","Other"
"Already Best Friends (XMiX Remix) (No Hype Edit) (Dirty)","Jack Harlow (feat Chris Brown)","10:55:46 PM","10:58:48 PM","00:03:02","2","","Already Best Friends (XMiX Remix) (No Hype Edit) (Dirty)","103","Ebm","2021","Urban"
"King Most ""Doja, Saweetie, & Most Friend""","King Most","10:56:33 PM","11:00:23 PM","00:03:50","1","","King Most ""Doja, Saweetie, & Most Friend""","103","Am","2022",""
"Boasty (Intro Clean)","Wiley, Stefflon Don, Sean Paul ft Idris Elba","10:59:02 PM","11:02:46 PM","00:03:44","2","","Boasty (Intro Clean)","103","Ebm","2019","Dancehall"
"Lado B (Nick Bike Edit)","Deekapz","11:00:23 PM","11:03:28 PM","00:03:05","1","","Lado B (Nick Bike Edit)","104","Em","","Other"
"Lado B (Nick Bike Edit)","Deekapz","11:02:46 PM","11:04:00 PM","00:01:14","2","","Lado B (Nick Bike Edit)","104","Em","","Other"
