"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album","length","comment"
"Practice Set","","5/25/2023 7:50:25 PM","5/25/2023 8:58:22 PM","01:07:57","","","","","","","","","01:07:57",""
"Mr Roboto (LP Version)","Styx","7:50:25 PM","7:55:38 PM","00:05:13","1","","72","Ebm","","Other","","","","2A - 144"
"Jailbreak","Thin Lizzy","7:51:08 PM","7:55:54 PM","00:04:46","2","","72","Eb","","Other","","","",""
"Jailbreak","Thin Lizzy","7:55:42 PM","7:58:13 PM","00:02:31","1","","72","Eb","","Other","","","",""
"Panama","Van Halen","7:55:54 PM","7:58:30 PM","00:02:36","2","","70","G#m","","Other","","","",""
"Panama","Van Halen","7:58:25 PM","7:59:27 PM","00:01:02","1","","70","G#m","","Other","","","",""
"Smack My Bitch Up (Rowshay Edit)","The Prodigy","7:58:30 PM","8:00:31 PM","00:02:01","2","","70","Bbm","","90s","","","",""
"Toxic (Nick Bike Remix)","Britney Spears","7:59:29 PM","8:01:34 PM","00:02:05","1","","72","Cm","","Other","","","",""
"Booty (Intro - Clean)","Blac Youngsta","8:00:31 PM","8:02:50 PM","00:02:19","2","","72","Dm","","Other","","","",""
"THIQUE (DJ Bizzon Thick Bootleg) CLEAN","Beyonce","8:01:43 PM","8:04:25 PM","00:02:42","1","","72","Am","","","","","",""
"Mine (Chartbusters)","Bazzi","8:02:54 PM","8:06:19 PM","00:03:25","2","","72","E","2018","Top 40","","XMiX Chartbusters 151 (Mar 2018)","","XMiX Edit by DJ Ready Rock"
"Papi Chulo","TroyBoi","8:04:25 PM","8:07:40 PM","00:03:15","1","","71","G#m","2019","Dance","","Papi Chulo","","Promo Only - www.promoonly.com - Distribution of this file is strictly prohibited."
"Escape (The Pina Colada Song) (Intro Clean)","Rupert Holmes","8:06:45 PM","8:08:54 PM","00:02:09","2","","71","Am","1979","Pop","","","",""
"Tapout (Intro - Clean)","Rich Gang","8:07:40 PM","8:08:04 PM","00:00:24","1","","71","Gm","","Other","","","",""
"QADIR","Nick Hakim","8:08:04 PM","8:10:14 PM","00:02:10","1","","71","Ebm","2020","Alternative","","WILL THIS MAKE ME GOOD","",""
"Solo _ KNK Flip","Keys N Krates","8:09:15 PM","8:11:44 PM","00:02:29","2","","71","Dbm","2021","Other","","Flips Vol 2","","Visit https://keysnkratesknk.bandcamp.com"
"KOD (Intro - Clean)","J. Cole","8:10:25 PM","8:12:47 PM","00:02:22","1","","71","Fm","","Other","","","",""
"Pony (SE) (Marty Mar Edit)","Ginuwine","8:11:44 PM","8:13:42 PM","00:01:58","2","","71","F#","1996","R&B","","www.BarBangerz.com","",""
"Toot That (DJcity Intro - Clean)","Erica Banks (feat BeatKing)","8:12:55 PM","8:14:50 PM","00:01:55","1","","71","Ebm","2020","Hip Hop","","","","0"
