"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album","length"
"One Deck Only","","5/27/2022 9:29:56 AM","","","","","","","","","","",""
"Poison - max9k & Borae Remix","Bell Biv DeVoe","9:29:56 AM","9:30:14 AM","00:00:18","2","","122","F#m","2020","House","","",""
"Poison - max9k & Borae Remix","Bell Biv DeVoe","9:30:07 AM","9:31:18 AM","00:01:11","1","","122","F#m","2020","House","","",""
"People Everyday (Original Mix)","Block & Crown","9:30:19 AM","9:31:40 AM","00:01:21","2","","122","Em","2022","Funky House","","People Everyday",""
"People Everyday (Original Mix)","Block & Crown","9:31:18 AM","9:32:09 AM","00:00:51","1","","122","Em","2022","Funky House","","People Everyday",""
"Cold Heart (DJ Dark & Mose N Remix)","Elton John & Dua Lipa","9:31:43 AM","9:32:27 AM","00:00:44","2","","122","Ebm","2021","Dance","","XMiX Digital Single",""
"Cold Heart (DJ Dark & Mose N Remix)","Elton John & Dua Lipa","9:32:09 AM","9:33:25 AM","00:01:16","1","","122","Ebm","2021","Dance","","XMiX Digital Single",""
"I'll House You - HUNDRD PCT Remix","Jungle Brothers","9:32:27 AM","9:33:41 AM","00:01:14","2","","122","Bm","2021","House","","",""
"I'll House You - HUNDRD PCT Remix","Jungle Brothers","9:33:25 AM","9:35:43 AM","00:02:18","1","","122","Bm","2021","House","","",""
"Never Going Home","Kungs","9:33:41 AM","9:36:29 AM","00:02:48","2","","122","Am","2021","Pop","","Ultimix 291",""
"Never Going Home","Kungs","9:35:44 AM","9:36:47 AM","00:01:03","1","","122","Am","2021","Pop","","Ultimix 291",""
"Couple Bandz","Snakehips & Promnite","9:36:29 AM","9:36:52 AM","00:00:23","2","","122","F#m","2022","House","","POOL's Boot natioN",""
"Couple Bandz","Snakehips & Promnite","9:36:47 AM","9:38:22 AM","00:01:35","1","","122","F#m","2022","House","","POOL's Boot natioN",""
"Talkin All That Jazz (Rhythm Scholar Funksonic Remix)","Stetsasonic","9:36:55 AM","9:38:28 AM","00:01:33","2","","122","Dm","","","","www.rhythmscholar.com",""
"Talkin All That Jazz (Rhythm Scholar Funksonic Remix)","Stetsasonic","9:38:22 AM","9:40:55 AM","00:02:33","1","","122","Dm","","","","www.rhythmscholar.com",""
"A Bit Patchy VIP","Sammy Porter","9:39:33 AM","9:41:02 AM","00:01:29","2","","122","Bm","","Other","","",""
"A Bit Patchy VIP","Sammy Porter","9:40:55 AM","9:42:14 AM","00:01:19","1","","122","Bm","","Other","","",""
"17 (Extended)","MK","9:41:02 AM","9:42:20 AM","00:01:18","2","","122","Cm","2017","Dance","","XMiX Dance Series 222 (Dec 2017)",""
"17 (Extended)","MK","9:42:14 AM","9:43:23 AM","00:01:09","1","","122","Cm","2017","Dance","","XMiX Dance Series 222 (Dec 2017)",""
"Make The World Go Round (Deep Dish MCB Edit)","Sandy B","9:42:20 AM","9:43:50 AM","00:01:30","2","","122","Gm","","Other","","",""
"Make The World Go Round (Deep Dish MCB Edit)","Sandy B","9:43:23 AM","9:44:22 AM","00:00:59","1","","122","Gm","","Other","","",""
"Make The World Go Round (Deep Dish MCB Edit)","Sandy B","9:44:03 AM","9:44:37 AM","00:00:34","2","","122","Gm","","Other","","",""
"Make The World Go Round (Deep Dish MCB Edit)","Sandy B","9:44:33 AM","9:46:32 AM","00:01:59","1","","122","Gm","","Other","","",""
"Hypnotize (PBH & Jack Shizzle Remix MCB Edit)","The Notorious B.I.G.","9:44:40 AM","9:47:18 AM","00:02:38","2","","122","G#m","1997","Other","","",""
"Hypnotize (PBH & Jack Shizzle Remix MCB Edit)","The Notorious B.I.G.","9:46:32 AM","9:48:34 AM","00:02:02","1","","122","G#m","1997","Other","","",""
"Just An Illusion (Nick Bike's Sacrifice Edit)","Imagination x The Weeknd","9:47:21 AM","","","2","","122","Bm","","Other","","",""
"Just An Illusion (Nick Bike's Sacrifice Edit)","Imagination x The Weeknd","9:48:35 AM","","","1","","122","Bm","","Other","","",""
