"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album"
"Tuesday Twitch Set","","5/10/2022 5:25:47 PM","5/10/2022 7:06:57 PM","01:41:10","","","","","","","",""
"Back To The Streets (Explicit)","Saweetie f./ Jhene Aiko","5:26:04 PM","5:30:02 PM","00:03:58","1","","102","G#m","2020","Rap","","Back To The Streets"
"Frontin (Dennis Blaze Remix) (Clean Extended)","Pharrell Williams ft Jay-Z","5:26:27 PM","5:32:28 PM","00:06:01","2","","102","Em","2020","Hip Hop R&B","",""
"Ching-A-Ling (Intro)","Missy Eliott ","5:30:02 PM","5:34:18 PM","00:04:16","1","","102","Ebm","2008","Hip - Hop","","Crate Savers"
"Mundian To Bach Ke - Michael Fortera Remix","Panjabi MC","5:32:28 PM","5:35:32 PM","00:03:04","2","","102","Ebm","2021","Other","",""
"Pure Water (CHILDSPLAY & Jurab Remix - Clean)","Mustard f./ Migos","5:34:18 PM","5:38:14 PM","00:03:56","1","","102","Cm","2019","Dance","","POOL's New Music Boot"
"Gas Pedal - MarkCutz Remix (Dirty)","Sage The Gemini ","5:36:41 PM","5:39:46 PM","00:03:05","2","","102","Cm","2021","Hip Hop","",""
"Roses","The Chainsmokers ft. Rozes","5:38:14 PM","5:43:05 PM","00:04:51","1","","100","E","","Other","",""
"Fly Like An Eagle (Psymbionic Remix) (SE) [VM Edit]","Steve Miller Band","5:39:46 PM","5:44:16 PM","00:04:30","2","","100","Am","1976","Rock","","www.BarBangerz.com"
"Fly As Me (DJcity Intro - Dirty)","Bruno Mars, Anderson Paak & Silk Sonic","5:43:05 PM","5:46:38 PM","00:03:33","1","","100","Em","2021","Hip Hop","",""
"Gotta Be (Movin' On Up) (LP Version)","PM Dawn","5:44:30 PM","5:46:52 PM","00:02:22","2","","100","Fm","","Other","",""
"Gotta Be (Movin' On Up) (LP Version)","PM Dawn","5:46:41 PM","5:49:16 PM","00:02:35","1","","100","Fm","","Other","",""
"MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","MF Doom","5:46:52 PM","5:51:35 PM","00:04:43","2","","100","Ebm","2021","Other","",""
"Money Aint A Thang X 7 Minutes Of Funk (DJ A-L Blend)","DJ A-L","5:49:44 PM","5:54:19 PM","00:04:35","1","","99","Bm","2021","","","Classic Combinations [DJ A-L Blend Compilation]"
"Got Til It's Gone (MCB B&S Redrum)","Janet Jackson (feat Q-Tip)","5:51:35 PM","5:56:57 PM","00:05:22","2","","99","Cm","1998","Other","",""
"Zhane - Sending My Love (The London Bootleg) CLEAN","Zhane","5:54:19 PM","5:58:43 PM","00:04:24","1","","98","Em","","","",""
"Fall In Love (DJ Mike D Mixshow Edit)","Phantogram","5:56:57 PM","6:00:39 PM","00:03:42","2","","98","Am","","Other","","#ihatedjmiked"
"Fall In Love (DJ Mike D Mixshow Edit)","Phantogram","5:58:43 PM","5:59:03 PM","00:00:20","1","","98","Am","","Other","","#ihatedjmiked"
"Girls Around The World (Radio Edit)","Lloyd (feat Lil Wayne)","5:59:41 PM","6:04:31 PM","00:04:50","1","","98","Gm","","Other","","X-Mix Urban Radioactive June "
"Mack 10 and Tha Dogg Pound - Nothin But the Cavi Hit LNRP Mixshow Edit (Clean)","Mack 10 and Tha Dogg Pound","6:00:39 PM","6:07:06 PM","00:06:27","2","","98","F#m","1996","Rap","","Nothin But the Cavi Hit CDS"
"Bring em out (A.Skillz Sledgehammer edit)","A.Skillz","6:05:19 PM","6:10:04 PM","00:04:45","1","","98","Eb","2022","","","Bring em out (A.Skillz Sledgehammer edit)"
"Drop It Like It's Hot - BRLLNT Remix (Dirty)","Snoop Dogg ft. Pharrell Williams","6:07:36 PM","6:10:14 PM","00:02:38","2","","98","C#m","2022","Hip Hop","",""
"Drop It Like It's Hot - BRLLNT Remix (Dirty)","Snoop Dogg ft. Pharrell Williams","6:10:09 PM","6:11:52 PM","00:01:43","1","","98","C#m","2022","Hip Hop","",""
"You're A Jerk (Radio Edit)","New Boyz","6:11:15 PM","6:14:24 PM","00:03:09","2","","99","Fm","2009","Hip Hop","","WWW.MY12INCH.COM"
"Dont Tell 'Em - DJ Bizzon Animalz Edit (Dirty)","Jeremih ft. YG","6:12:35 PM","6:16:57 PM","00:04:22","1","","99","Dm","2021","R&B","",""
"Poke It Out (XMiX Remix) (No Hype Edit) (Dirty)","Wale feat. J. Cole x Q-Tip","6:14:24 PM","6:20:14 PM","00:05:50","2","","99","C#m","2021","Urban","","XMiX Urban & Club Series 276 (Oct 2021 - Part 2)"
"Sunshine","Crash Party","6:16:57 PM","6:22:36 PM","00:05:39","1","","100","E","2022","","","RMX Vol.1"
"Red Eye - Madsko Remix","Justin Bieber ft. TroyBoi","6:20:42 PM","6:22:56 PM","00:02:14","2","","100","Bbm","2021","Pop","",""
