"name","key","bpm","start time","end time","playtime","deck","","song","#","artist"
"4/23/22","","","4/23/22, 5:37:26 PM EDT","4/23/22, 11:33:58 PM EDT","05:56:32","","","4/23/22","",""
"000bpm slow - andrea botecelli a time to say goodbye - classical opera","Em","80","5:37:26 PM EDT","5:43:25 PM EDT","00:05:59","2","","000bpm slow - andrea botecelli a time to say goodbye - classical opera","",""
"I Heard You're Married (DJcity Intro - Clean)","Am","110","5:43:25 PM EDT","5:59:19 PM EDT","00:15:54","2","","I Heard You're Married (DJcity Intro - Clean)","","The Weeknd ft. Lil Wayne"
"Upside Down","Gm","108","5:59:19 PM EDT","7:28:36 PM EDT","01:29:17","2","","Upside Down","","Diana Ross"
"Good Feeling (Clean)","C#m","128","6:37:42 PM EDT","7:40:17 PM EDT","01:02:35","1","","Good Feeling (Clean)","","Flo Rida"
"avicii - levels","E","126","7:28:36 PM EDT","7:52:50 PM EDT","00:24:14","2","","avicii - levels","",""
"Sugar (Clean)","Bbm","123","7:40:17 PM EDT","7:54:24 PM EDT","00:14:07","1","","Sugar (Clean)","","Robin Schulz ft. Francesco Yates"
"Leon Bridges - Beyond","Ebm","76","7:52:50 PM EDT","7:57:42 PM EDT","00:04:52","2","","Leon Bridges - Beyond","",""
"Tim McGraw - My Little Girl","Am","72","7:54:24 PM EDT","8:14:56 PM EDT","00:20:32","1","","Tim McGraw - My Little Girl","",""
"Boyz II Men - A Song For Mama","Em","75","7:57:42 PM EDT","9:14:09 PM EDT","01:16:27","2","","Boyz II Men - A Song For Mama","",""
"Habiby Ya Einy","Gm","117","8:14:56 PM EDT","9:19:21 PM EDT","01:04:25","1","","Habiby Ya Einy","","Nourhanne"
"Mabrouk Aleiki","Dm","106","9:14:09 PM EDT","9:22:56 PM EDT","00:08:47","2","","Mabrouk Aleiki","","Nassif Zeytoun"
"Aaras El Ghawale","Fm","70","9:19:21 PM EDT","9:33:24 PM EDT","00:14:03","1","","Aaras El Ghawale","","Melhem Zien"
"Yala Norqos","B","122","9:22:56 PM EDT","9:30:49 PM EDT","00:07:53","2","","Yala Norqos","","Ramy Ayach"
"Uptown Funk (Clean)","Dm","115","9:39:41 PM EDT","9:49:30 PM EDT","00:09:49","2","","Uptown Funk (Clean)","","Mark Ronson ft Bruno Mars"
"Robin Thicke feat. T.I. & Pharrell - Blurred Lines","Gm","120","9:46:49 PM EDT","9:52:46 PM EDT","00:05:57","1","","Robin Thicke feat. T.I. & Pharrell - Blurred Lines","",""
"Pretty Girl Rock (Clean)","Bm","80","9:49:30 PM EDT","9:53:13 PM EDT","00:03:43","2","","Pretty Girl Rock (Clean)","","Keri Hilson"
"Moulayitein","Am","113","9:52:46 PM EDT","9:57:13 PM EDT","00:04:27","1","","Moulayitein","","Fares Karam"
"Hussein El Deek - Kelme Aatini ","Gm","138","9:53:57 PM EDT","9:59:12 PM EDT","00:05:15","2","","Hussein El Deek - Kelme Aatini ","","ArabSong.Net"
"Badna Nwalee El Jaw","Am","128","9:57:51 PM EDT","10:02:37 PM EDT","00:04:46","1","","Badna Nwalee El Jaw","","Nancy Ajram"
"Hadi Aswad - Cute [Official Music Video] (2022) / هادي أسود - كيوت","Ebm","104","9:59:12 PM EDT","10:04:57 PM EDT","00:05:45","2","","Hadi Aswad - Cute [Official Music Video] (2022) / هادي أسود - كيوت","","Hadi Aswad"
"24K Magic (Clean)","Fm","107","10:02:37 PM EDT","10:06:59 PM EDT","00:04:22","1","","24K Magic (Clean)","","Bruno Mars"
"Big Energy (CLEAN)(Funkymix by Stacy Mier)","Em","106","10:04:57 PM EDT","10:09:48 PM EDT","00:04:51","2","","Big Energy (CLEAN)(Funkymix by Stacy Mier)","","Latto"
"Massari Maya Diab French Montana - Ya Nour El Ein (Habibi)","Gm","100","10:06:59 PM EDT","10:11:47 PM EDT","00:04:48","1","","Massari Maya Diab French Montana - Ya Nour El Ein (Habibi)","",""
"Ride WIt Me (DD Intro)","Em","102","10:10:15 PM EDT","10:14:58 PM EDT","00:04:43","2","","Ride WIt Me (DD Intro)","","Nelly Feat. City Spud"
"Higher Love (Pt. 1) (kwikMIX by Mark Roberts)","Fm","104","10:11:47 PM EDT","10:15:59 PM EDT","00:04:12","1","","Higher Love (Pt. 1) (kwikMIX by Mark Roberts)","","Kygo & Whitney Houston"
"Time Of Our Lives (Intro - Dirty)","Fm","124","10:14:58 PM EDT","10:18:05 PM EDT","00:03:07","2","","Time Of Our Lives (Intro - Dirty)","","Pitbull ft. Ne-Yo"
"Stereo Love (Molella Remix)","C#m","127","10:15:59 PM EDT","10:19:53 PM EDT","00:03:54","1","","Stereo Love (Molella Remix)","","Edward Maya ft Vika Jigulina"
"Don Omar ft Lucenzo - Danza Kuduro [www.Muzica24h.blogspot.com]","Am","130","10:18:05 PM EDT","10:22:59 PM EDT","00:04:54","2","","Don Omar ft Lucenzo - Danza Kuduro [www.Muzica24h.blogspot.com]","",""
"Khaled - C'est La Vie (HYPE)","Eb","130","10:19:53 PM EDT","10:25:23 PM EDT","00:05:30","1","","Khaled - C'est La Vie (HYPE)","",""
"Ramy Ayach - Mabrouk","Eb","83","10:22:59 PM EDT","10:28:36 PM EDT","00:05:37","2","","Ramy Ayach - Mabrouk","",""
"Despacito Remix (Intro)","Bm","89","10:25:27 PM EDT","10:30:23 PM EDT","00:04:56","1","","Despacito Remix (Intro)","","Luis Fonsi & Daddy Yankee ft. Justin Bieber"
"50 Cent - In Da Club 90","G#m","90","10:28:39 PM EDT","10:31:14 PM EDT","00:02:35","2","","50 Cent - In Da Club 90","",""
"Say Aah (ft. Fabolous) CLEAN","B","93","10:30:23 PM EDT","10:32:05 PM EDT","00:01:42","1","","Say Aah (ft. Fabolous) CLEAN","","Trey Songz"
"cd 20 dj kool clear my throat rmx","Am","103","10:31:14 PM EDT","10:32:27 PM EDT","00:01:13","2","","cd 20 dj kool clear my throat rmx","",""
"Crazy In love (Original)","Dm","98","10:32:05 PM EDT","10:35:23 PM EDT","00:03:18","1","","Crazy In love (Original)","","Beyonce Feat. Jay Z"
"679 (Remy Boyz) (Intro - Clean)","Bm","95","10:32:27 PM EDT","10:36:09 PM EDT","00:03:42","2","","679 (Remy Boyz) (Intro - Clean)","","Fetty Wap ft. Montana Buckz"
"Party In The U.S.A.","Ebm","96","10:35:34 PM EDT","10:36:44 PM EDT","00:01:10","1","","Party In The U.S.A.","","Miley Cyrus"
"Baby One More Time","Cm","93","10:36:09 PM EDT","10:37:35 PM EDT","00:01:26","2","","Baby One More Time","","Britney Spears"
"Señorita","Ebm","98","10:36:44 PM EDT","10:38:47 PM EDT","00:02:03","1","","Señorita","","Justin Timberlake feat. Pharrell Williams"
