"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album","length","comment"
"A Quick Mix","","7/8/2022 11:37:26 AM","7/8/2022 11:56:43 AM","00:19:17","","","","","","","","","00:19:17",""
"Sunshine Ft. Tera Kòrá","FS Green","11:37:26 AM","11:39:29 AM","00:02:03","1","","100","Em","2022","","","","","Visit https://fsgreen.bandcamp.com"
"Saweetie x Doja Cat - Best Friend (Double A 'from The Bay' Bounce Edit) [CLEAN]]","dØ𝔲𝔟ʟ𝔢 ₳ ‘𝚏𝚛𝚘𝚖 𝚃𝚑𝚎 𝙱𝚊𝚢’","11:37:47 AM","11:41:37 AM","00:03:50","2","","100","Am","2022","","","Saweetie x Doja Cat - Best Friend (Double A 'from The Bay' Bounce Edit)","","Visit https://doublea408.bandcamp.com"
"Smile","Katy Perry","11:39:39 AM","11:43:22 AM","00:03:43","1","","98","Gm","2020","Pop","","Smile","",""
"Good (DJcity Intro - Dirty)","P-LO ft. Larry June","11:41:37 AM","11:44:09 AM","00:02:32","2","","98","Ebm","2022","Hip Hop","","","",""
"Next Episode (Maker Dancehall Remix) CLEAN","Dr Dre","11:43:22 AM","11:44:39 AM","00:01:17","1","","98","1A","2013","","","Deep Covers 3 Dre Day 13","","1A/2A - Visit http://groundliftmediabandcampcom"
"West Coast (Explicit)","G-Eazy (feat Blueface)","11:44:09 AM","11:45:37 AM","00:01:28","2","","98","Bbm","2019","Rap","","West Coast","","Promo Only - www.promoonly.com - Distribution of this file is strictly prohibited."
"Special Delivery (Intro Clean)","G. Dep","11:44:39 AM","11:46:16 AM","00:01:37","1","","98","Ebm","2001","Hip Hop","","","",""
"Special Delivery (Intro Clean)","G. Dep","11:45:37 AM","11:47:07 AM","00:01:30","2","","98","Ebm","2001","Hip Hop","","","",""
"Wish I Never (Dirty)","Kehlani","11:46:16 AM","11:48:00 AM","00:01:44","1","","98","Em","2022","Urban","","XMiX Digital Single","",""
"Girls Around The World (Radio Edit)","Lloyd (feat Lil Wayne)","11:47:07 AM","11:49:19 AM","00:02:12","2","","98","Gm","","Other","","X-Mix Urban Radioactive June ","","6A - 98"
"Party On Fifth Ave. (Intro - Dirty)","Mac Miller","11:48:00 AM","11:50:25 AM","00:02:25","1","","98","G#m","","Other","","","","1A - 98"
"Big Ole Butt (LNRP Mixshow Edit) (Clean)","LL Cool J","11:49:19 AM","11:51:50 AM","00:02:31","2","","98","G#m","1989","Old School","","Big Ole Butt CDS","","www.latenightrecordpool.com"
"Take It Easy (Original Mix)","Mad Lion","11:50:25 AM","11:53:32 AM","00:03:07","1","","98","Gm","","Hip-Hop","","Mad Lion - Take It Easy B/W Big Box Of Blunts","","5A - 98 - Hip-Hop - Reggae/Dancehall/Dub"
"Beware The Boys (Remix) [VM Edit]","Punjabi MC (feat Jay Z)","11:51:50 AM","11:55:04 AM","00:03:14","2","","98","Ebm","2002","Hip-Hop","","www.BarBangerz.com","",""
"I'll Be Dat (LNRP Mixshow Edit) (Clean)","Redman","11:53:32 AM","11:56:07 AM","00:02:35","1","","98","G#m","2000","Old School","","I'll Be CDS","","www.latenightrecordpool.com"
"Drop It Like It's Hot - BRLLNT Remix (Dirty)","Snoop Dogg ft. Pharrell Williams","11:55:04 AM","11:56:36 AM","00:01:32","2","","98","C#m","2022","Hip Hop","","","",""
