"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album","length"
"cinco_de_mayo","","5/5/2022 5:12:22 PM","5/5/2022 6:46:49 PM","01:34:27","","","","","","","","","01:34:27"
"E Pro","Beck","5:12:22 PM","5:14:43 PM","00:02:21","1","","96","Em","","Genre","","Album",""
"E Pro","Beck","5:12:59 PM","5:16:32 PM","00:03:33","2","","96","Em","","Genre","","Album",""
"Survivin' (PO Intro Edit - Clean)","Bastille","5:14:43 PM","5:18:47 PM","00:04:04","1","","95","Em","2020","Top 40","","Survivin'",""
"Pinch Me (SE) [VM Edit]","Barenaked Ladies","5:16:32 PM","5:21:31 PM","00:04:59","2","","95","C","2000","Alternative","","www.BarBangerz.com",""
"Hooch (DJ Edit)","Everything ","5:18:47 PM","5:23:17 PM","00:04:30","1","","95","G#m","1998","90's Rock / Alternative","","DMS | Fuseamania",""
"I'm Not Your Puppet (Intro Clean)","Hi-C","5:21:31 PM","5:25:16 PM","00:03:45","2","","95","Ebm","1991","Hip Hop","","",""
"Can't Knock the Hustle (LNRP Mixshow Edit) (Dirty)","Jay-Z Feat Mary J Blige","5:23:30 PM","5:27:41 PM","00:04:11","1","","95","Em","1996","Other","","Can't Knock the Hustle CDS",""
"Look Good (LP Version)","Johnny P.","5:25:16 PM","5:29:22 PM","00:04:06","2","","95","C#m","","Other","","",""
"Peaches - Trayze Throwback Edit (Dirty)","Justin Bieber (feat Daniel Caeser & Giveon)","5:28:19 PM","5:31:23 PM","00:03:04","1","","95","Em","2021","Pop","","",""
"Good Life (DJ Bizzon On The Hotline Bootleg) DIRTY","Kanye West","5:29:22 PM","5:33:34 PM","00:04:12","2","","95","Bbm","","","","",""
"Summer Madness (Rhythm Scholar Remix)","Kool & The Gang","5:31:38 PM","5:35:30 PM","00:03:52","1","","95","Cm","","","","www.rhythmscholar.com",""
"Faith (Fame Remix)","Limp Bizkit","5:34:25 PM","5:36:14 PM","00:01:49","2","","95","Bm","2001","Alt Metal","","New Old Songs",""
"4,3,2,1 (Quick Hit Clean)","LL Cool J ft Redman, Method Man, Canibus & DMX","5:35:31 PM","5:37:40 PM","00:02:09","1","","95","Bbm","1997","Hip Hop","","",""
"On Fire (X-Mix Urban)","Lloyd Banks","5:36:34 PM","5:39:05 PM","00:02:31","2","","95","Gm","","Other","","",""
"Music Makes Me High (Remix) (Clean) (XMiX Short Cut)","Lost Boyz","5:37:40 PM","5:40:58 PM","00:03:18","1","","95","G#m","2019","Urban","","XMiX Short Cutz (Aug 2019 - Side A)",""
"Kick, Push (Intro - Clean)","Lupe Fiasco","5:39:05 PM","5:43:21 PM","00:04:16","2","","95","Am","","Other","","",""
"Thrift Shop (Intro - Dirty)","Macklemore ft Wanz","5:40:58 PM","5:46:15 PM","00:05:17","1","","95","G#m","","Other","","",""
"The I.N.C. Ride (Intro Clean)","Masta Ace Incorporated","5:44:00 PM","5:47:01 PM","00:03:01","2","","95","Bm","","Hip Hop","","",""
"The I.N.C. Ride (Intro Clean)","Masta Ace Incorporated","5:46:15 PM","5:49:54 PM","00:03:39","1","","95","Bm","","Hip Hop","","",""
