name,artist,start time,end time,playtime,deck,,song,bpm,key,year,genre
10/24/2021,,10/24/2021 11:06,10/25/2021 19:24,32:18:28,,,10/24/2021,,,,
It's Goin' Down (MCB Clean Edit QH),Yung Joc,11:21:49 AM,11:25:45 AM,0:00:15,2,,It's Goin' Down (MCB Clean Edit QH),84,G#m,2006,Other
Country Grammar (MCB Ultimix Edit),Nelly,11:25:48 AM,11:30:13 AM,0:00:16,2,,Country Grammar (MCB Ultimix Edit),81,Dm,2000,Other
Only Human (MCB Chartbusters Edit),Jonas Brothers,11:29:58 AM,11:30:29 AM,0:00:17,1,,Only Human (MCB Chartbusters Edit),94,Gm,2019,Other
Only Human (MCB Chartbusters Edit),Jonas Brothers,11:30:16 AM,11:33:29 AM,0:00:18,2,,Only Human (MCB Chartbusters Edit),94,Gm,2019,Other
Best Friend (Nick Bike Remix MCB Edit Clean),Saweetie (feat Doja Cat),11:30:29 AM,11:34:46 AM,0:00:19,1,,Best Friend (Nick Bike Remix MCB Edit Clean),94,Abm,2021,Other
Pick It Up (Remix) (Intro Clean),Redman,11:33:29 AM,11:36:21 AM,0:00:21,2,,Pick It Up (Remix) (Intro Clean),94,G#m,,Hip Hop
Diamond Girl (Intro Clean),Ryan Leslie,11:34:46 AM,11:37:36 AM,0:00:22,1,,Diamond Girl (Intro Clean),94,Ebm,2007,R&B
To U - Oliver Remix,Skrillex & Diplo ft. AlunaGeorge,11:36:21 AM,11:38:29 AM,0:00:23,2,,To U - Oliver Remix,94,Db,,Other
Purple Hat (PO Intro Edit),Sofi Tukker,11:37:36 AM,11:39:58 AM,0:00:24,1,,Purple Hat (PO Intro Edit),94,Bm,2019,Dance
Take The Money & Run (Starting From Scratch Remix),Steve Miller Band,11:38:29 AM,11:38:53 AM,0:00:26,2,,Take The Money & Run (Starting From Scratch Remix),94,Gm,2011,Club
Strawberry Letter 23 (ReDrum) [VM EDIT],The Brothers Johnson,11:38:53 AM,11:39:12 AM,0:00:26,2,,Strawberry Letter 23 (ReDrum) [VM EDIT],94,Cm,,70s
Lullaby (Intro Clean),The Cure,11:39:12 AM,11:40:35 AM,0:00:26,2,,Lullaby (Intro Clean),94,C#m,,Pop
LOVE IS WHAT WE NEED,The Gaff,11:39:58 AM,11:40:07 AM,0:00:29,1,,LOVE IS WHAT WE NEED,94,Gm,2020,
Hypnotize (Inst),The Notorious B.I.G,11:40:07 AM,11:40:52 AM,0:00:31,1,,Hypnotize (Inst),94,Em,1997,Rap
Hypnotize (LP Version),The Notorious B.I.G.,11:40:35 AM,11:42:08 AM,0:00:31,2,,Hypnotize (LP Version),94,Em,,Other
Mother Mother (ReDrum) (SE) [VM EDIT],Tracy Bonham,11:40:52 AM,11:41:27 AM,0:00:35,1,,Mother Mother (ReDrum) (SE) [VM EDIT],94,Bm,,90s
