"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"10/26/2021","","10/26/2021 8:50:45 AM","10/27/2021 9:38:19 AM","24:47:34","","","10/26/2021","","","",""
"Awnaw (Quick Hit Clean)","Nappy Roots","8:50:45 AM","8:57:24 AM","00:06:39","1","","Awnaw (Quick Hit Clean)","80","Em","2002","Hip Hop"
"Just Kickin it (LNRP Mixshow Edit) (Clean)","Xscape","8:55:21 AM","9:00:16 AM","00:04:55","2","","Just Kickin it (LNRP Mixshow Edit) (Clean)","81","C#m","1993","Other"
"I'm Real (MCB X-Mix Edit)","Jennifer Lopez (feat Ja Rule)","8:57:24 AM","9:02:53 AM","00:05:29","1","","I'm Real (MCB X-Mix Edit)","84","Em","2001","Other"
"Oh Boy (Marty Mar Edit)","Cam'ron ft Juelz Santana","9:00:16 AM","9:05:46 AM","00:05:30","2","","Oh Boy (Marty Mar Edit)","83","B","2002","Hip-Hop"
"It Was A Good Day (MCB X-Mix Urban Edit)","Ice Cube","9:02:53 AM","9:07:55 AM","00:05:02","1","","It Was A Good Day (MCB X-Mix Urban Edit)","83","Cm","1993","Other"
"It's Goin' Down (MCB Clean Edit)","Yung Joc","9:05:46 AM","9:10:39 AM","00:04:53","2","","It's Goin' Down (MCB Clean Edit)","84","G#m","2006","Other"
"Just A Friend (MCB X-Mix Edit)","Biz Markie","9:07:55 AM","9:20:12 AM","00:12:17","1","","Just A Friend (MCB X-Mix Edit)","85","Gm","1989","Other"
"Brandy Feat MC Lyte, Queen Latifah and Yo Yo - I Wanna Be Down (Remix) LNRP Mixshow Edit (Clean)","Brandy Feat MC Lyte, Queen Latifah and Yo Yo","9:10:39 AM","9:21:34 AM","00:10:55","2","","Brandy Feat MC Lyte, Queen Latifah and Yo Yo - I Wanna Be Down (Remix) LNRP Mixshow Edit (Clean)","86","Am","1994","Old School"
"Candy Rain (Heavy D & TrakMasterz Mix) (XMiX Short Cut)","Soul for Real","9:20:12 AM","9:24:38 AM","00:04:26","1","","Candy Rain (Heavy D & TrakMasterz Mix) (XMiX Short Cut)","94","Em","2016","Urban"
"Player's Ball (LNRP Mixshow Edit) (Clean)","Outkast","9:22:09 AM","9:26:37 AM","00:04:28","2","","Player's Ball (LNRP Mixshow Edit) (Clean)","93","Fm","1994","Old School"
"You Remind Me (Kutt Edit)","Usher","9:24:38 AM","9:30:00 AM","00:05:22","1","","You Remind Me (Kutt Edit)","94","Ebm","2001","R&B"
"On Fire (X-Mix Urban)","Lloyd Banks","9:26:37 AM","9:32:36 AM","00:05:59","2","","On Fire (X-Mix Urban)","95","Gm","","Other"
"Get Me Home (Wicked Mix)","Foxy Brown (f/Blackstreet)","9:30:00 AM","9:35:06 AM","00:05:06","1","","Get Me Home (Wicked Mix)","96","Am","1996","Other Hip-Hop/Rap"
"Shoop (X-Mix)","Salt & Pepa","9:32:59 AM","9:36:57 AM","00:03:58","2","","Shoop (X-Mix)","97","Cm","","Other"
"Don't You Forget It (DJ Clue Instrumental)","Glenn Lewis","9:36:12 AM","9:38:17 AM","00:02:05","1","","Don't You Forget It (DJ Clue Instrumental)","97","Bm","","Other"
