"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"another_mcb_set","","11/1/2021 4:32:40 PM","11/6/2021 10:21:52 PM","125:49:12","","","another_mcb_set","","","",""
"Joro (DJ Baysik Edit - Stemverter 2 FLIP)","Wizkid","4:32:40 PM","4:32:58 PM","00:00:18","2","","Joro (DJ Baysik Edit - Stemverter 2 FLIP)","95","Dm","",""
"Werewolves of London (SE) (MM Edit)","Warren Zevon","4:32:58 PM","4:33:13 PM","00:00:15","2","","Werewolves of London (SE) (MM Edit)","104","Gm","1978","70s Rock Halloween"
"The Feels (PO Intro Edit - Clean)","Twice","4:33:13 PM","4:33:16 PM","00:00:03","2","","The Feels (PO Intro Edit - Clean)","120","Em","2021","Top 40"
"The Feels (PO Intro Edit - Clean)","Twice","4:33:16 PM","4:34:47 PM","00:01:31","2","","The Feels (PO Intro Edit - Clean)","120","Em","2021","Top 40"
"Wishing He Was Dead (SE) (MM Edit)","The Like","4:34:47 PM","4:35:01 PM","00:00:14","2","","Wishing He Was Dead (SE) (MM Edit)","132","Cm","2010","2010s Soul Funk Rock Bboy Halloween"
"This Place Hotel (Heartbreak Hotel) (Scream Intro) (MM Edit)","The Jackson 5/The Jacksons","4:35:01 PM","4:35:10 PM","00:00:09","2","","This Place Hotel (Heartbreak Hotel) (Scream Intro) (MM Edit)","97","Em","1980","80s RnB Disco Funk Halloween"
"Torture (MM Edit)","The Jackson 5/The Jacksons","4:35:10 PM","4:35:14 PM","00:00:04","2","","Torture (MM Edit)","131","Cm","1984","80s RnB Pop Halloween"
"Zombie (SE) (MM Redrum Edit)","The Cranberries","4:35:14 PM","4:35:16 PM","00:00:02","2","","Zombie (SE) (MM Redrum Edit)","82","Em","1993","90s Rock Alternative Halloween"
"The Witch (MM Edit)","The Broken Keys","4:35:16 PM","4:35:32 PM","00:00:16","2","","The Witch (MM Edit)","92","G#m","2009","2000s Rock Soul Funk Halloween"
"Crazy (Hook First) (MM Edit)","The Boys","4:35:32 PM","4:35:36 PM","00:00:04","2","","Crazy (Hook First) (MM Edit)","112","Bm","1990","90s RnB Pop New Jack Swing Halloween"
"Howlin For You (MM Edit)","The Black Keys","4:35:36 PM","4:36:17 PM","00:00:41","2","","Howlin For You (MM Edit)","133","Em","2010","2010s Rock Alternative Halloween"
"Freakshow on the Dance Floor (SE) (MM Edit)","The Bar-Kays","4:36:17 PM","4:36:20 PM","00:00:03","2","","Freakshow on the Dance Floor (SE) (MM Edit)","131","Fm","1984","80s RnB Funk Boogie Halloween"
"Mad World (SE) (MM Edit)","Tears for Fears","4:36:20 PM","4:36:24 PM","00:00:04","2","","Mad World (SE) (MM Edit)","119","F#m","1983","80s Pop Rock Halloween"
