"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","song","album"
"short dj set","","12/17/2021 6:34:23 PM","12/17/2021 7:29:32 PM","00:55:09","","","","","","","","short dj set",""
"Elevation (Club Mix) [1990]","Xpansions","6:34:23 PM","6:38:26 PM","00:04:03","1","","122","Am","","Other","","Elevation (Club Mix) [1990]",""
"Just A Little More Love [Elektro Club Mix]","David Guetta (f/Chris Willis)","6:34:49 PM","6:42:28 PM","00:07:39","2","","123","Am","2004","Other","","Just A Little More Love [Elektro Club Mix]","Nu Dance 86 2-2004"
"Love Sweet Sound (Mark Knight & Funkagenda Remix)","Groove Armada","6:38:26 PM","6:45:21 PM","00:06:55","1","","123","Cm","","dance","","Love Sweet Sound (Mark Knight & Funkagenda Remix)","Mark Knight & Funkagenda Remix"
"Groovejet (If This Ain't Love) (Mastermix Edit)","Spiller (feat Sophie Ellis Bextor)","6:42:28 PM","6:49:11 PM","00:06:43","2","","123","Am","","Other","","Groovejet (If This Ain't Love) (Mastermix Edit)",""
"Bingo Bango (Tom Staar & Kryder Remix) (XMiX Edit)","Basement Jaxx","6:45:21 PM","6:46:39 PM","00:01:18","1","","124","G#m","2018","Dance","","Bingo Bango (Tom Staar & Kryder Remix) (XMiX Edit)","XMiX Dance Series 232 (Oct 2018)"
"Flawless (ATFC Remix)","The Ones","6:46:39 PM","6:51:47 PM","00:05:08","1","","124","Gm","","House","","Flawless (ATFC Remix)","Flawless"
"Just Another Groove (Boris Dlugosch Remix) (Clean) (Extended)","Mighty Dub Katz","6:49:11 PM","6:55:42 PM","00:06:31","2","","124","Bbm","","House","","Just Another Groove (Boris Dlugosch Remix) (Clean) (Extended)",""
"Give Me Luv (Original Mix)","Alcatraz","6:51:53 PM","6:58:57 PM","00:07:04","1","","125","Gm","","House","","Give Me Luv (Original Mix)","Giv Me Luv"
"Digital Love (Extended Version)","Daft Punk","6:55:44 PM","6:58:10 PM","00:02:26","2","","125","A","","Other","","Digital Love (Extended Version)",""
"Chillin' (Original Extended Mix)","Modjo","6:58:10 PM","7:00:18 PM","00:02:08","2","","125","Ebm","","Other","","Chillin' (Original Extended Mix)","Nu Dance Traxx 52"
"Simple (Original Mix)","Simian Mobile Disco","6:58:57 PM","7:05:16 PM","00:06:19","1","","125","C#m","","Other","","Simple (Original Mix)",""
"Move Your Body (Elevation) - Freejak Remix","Xpansions","7:00:18 PM","7:01:19 PM","00:01:01","2","","125","Am","","Other","","Move Your Body (Elevation) - Freejak Remix",""
"Giv Me Luv (Dean Coleman Remix)","Alcatraz","7:01:19 PM","7:01:31 PM","00:00:12","2","","126","Gm","","House","","Giv Me Luv (Dean Coleman Remix)","Giv Me Luv 07"
"Funky Shit (LP Verison)","The Prodigy","7:01:38 PM","7:06:47 PM","00:05:09","2","","125","Bm","","Other","","Funky Shit (LP Verison)",""
"Shot You Down (Lee Cabrera's Lower East Side Remix)","Audio Bullys","7:05:16 PM","7:06:07 PM","00:00:51","1","","126","Fm","","Other","","Shot You Down (Lee Cabrera's Lower East Side Remix)",""
"Brimful Of Asha (Fatboy Slim Remix)","Cornershop","7:06:07 PM","7:08:18 PM","00:02:11","1","","126","Ebm","1997","Other","","Brimful Of Asha (Fatboy Slim Remix)",""
"Fired Up (Jason Bee Short Re-Edit)","Funky Green Dogs","7:06:59 PM","7:10:24 PM","00:03:25","2","","126","Gm","","90's House","","Fired Up (Jason Bee Short Re-Edit)",""
"Higher State Of Conciousness (Dirty South & TV Rock Edit)","Josh Wink","7:08:18 PM","7:15:05 PM","00:06:47","1","","126","Gm","","Other","","Higher State Of Conciousness (Dirty South & TV Rock Edit)",""
"Don't Ya - Original Mix","Calvertron, WMP Project","7:10:24 PM","7:16:28 PM","00:06:04","2","","127","Cm","","Other","","Don't Ya - Original Mix","Don't Ya"
"Make Your Move (Dare Me) (Royal Gigolos Remix)","Dave Armstrong","7:15:05 PM","7:17:44 PM","00:02:39","1","","127","Cm","","House","","Make Your Move (Dare Me) (Royal Gigolos Remix)","Make Your Move (Dare Me)"
"RIP Groove - DubRocca Remix","Double 99","7:16:32 PM","7:19:12 PM","00:02:40","2","","127","Fm","","","","RIP Groove - DubRocca Remix",""
"Speed Up (X-Mix)","Funkerman","7:17:47 PM","7:21:07 PM","00:03:20","1","","127","Fm","","Other","","Speed Up (X-Mix)","X-Mix Dance 107"
"Passion (Dave Spoon Remix)","Gat Decor","7:19:12 PM","7:22:31 PM","00:03:19","2","","127","Cm","","Other","","Passion (Dave Spoon Remix)","Passion"
"Elektro (X-Mix)","Outwork","7:21:15 PM","7:29:32 PM","00:08:17","1","","127","C#m","","Other","","Elektro (X-Mix)","Xmix Dance Series 89"
"Something Going On - Belocca & Soneec Close To Classic Remix","Todd Terry, Prok & Fitch","7:22:46 PM","7:29:32 PM","00:06:46","2","","127","Bm","2011","House","","Something Going On - Belocca & Soneec Close To Classic Remix","Stealth Miami Sampler 2011"
