"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"mcb_set_throwback","","11/7/2021 7:30:05 AM","11/10/2021 10:27:10 AM","74:57:05","","","mcb_set_throwback","","","",""
"I Wanna Be Your Lover (Intro Clean)","Prince","7:31:57 AM","2:28:38 PM","06:56:41","2","","I Wanna Be Your Lover (Intro Clean)","116","G#m","1979","R&B"
"Nighttime (Ultimix)","Pretty Poison","2:24:56 PM","2:27:24 PM","00:02:28","1","","Nighttime (Ultimix)","116","Cm","","Other"
"Point Of No Return (Ultimix)","Nu Shooz","2:27:24 PM","2:27:32 PM","00:00:08","1","","Point Of No Return (Ultimix)","110","Fm","","Other"
"Point Of No Return (Ultimix)","Nu Shooz","2:27:32 PM","2:37:57 PM","00:10:25","1","","Point Of No Return (Ultimix)","110","Fm","","Other"
"Squeeze Me (Radio Edit)","Kraak & Smaak","2:28:38 PM","2:30:18 PM","00:01:40","2","","Squeeze Me (Radio Edit)","110","G#m","","Other"
"Domino Dancing (Extended Version)","Pet Shop Boys","2:30:18 PM","2:30:32 PM","00:00:14","2","","Domino Dancing (Extended Version)","110","Am","","Other"
"Domino Dancing (Extended Version)","Pet Shop Boys","2:30:32 PM","2:41:13 PM","00:10:41","2","","Domino Dancing (Extended Version)","110","Am","","Other"
"Wood Beez","Scritti Politti","2:38:40 PM","2:44:11 PM","00:05:31","1","","Wood Beez","113","Em","1985","Alternative"
"Square Biz (Stan Brega & Nick Bike 'Are Watching You' Remix) [Extended]","Teena Marie x Slave","2:41:13 PM","2:46:47 PM","00:05:34","2","","Square Biz (Stan Brega & Nick Bike 'Are Watching You' Remix) [Extended]","110","G","","Other"
"Single Life (MM Edit)","Cameo","2:44:41 PM","2:49:13 PM","00:04:32","1","","Single Life (MM Edit)","111","Bm","1985","80s RnB Funk"
"Serious (Intro Clean)","Donna Allen","2:46:47 PM","2:50:41 PM","00:03:54","2","","Serious (Intro Clean)","111","Cm","","Pop"
"Whoever You Are (Super Short Edit)","Geggy Tah","2:49:13 PM","2:51:49 PM","00:02:36","1","","Whoever You Are (Super Short Edit)","111","Am","1996","90's Rock/alternative"
"INXS - Need You Tonight (109 BPM)","","2:50:41 PM","2:54:28 PM","00:03:47","2","","INXS - Need You Tonight (109 BPM)","109","Cm","","Other"
"Bow Wow Wow - I Want Candy (Mixfits Edit) - 110 ","Bow Wow Wow - I Want Candy (Mixfits Edit) - 110 ","2:51:49 PM","2:56:55 PM","00:05:06","1","","Bow Wow Wow - I Want Candy (Mixfits Edit) - 110 ","109","Gm","","80's"
"Dazz (MM Edit)","Brick","2:55:41 PM","2:59:17 PM","00:03:36","2","","Dazz (MM Edit)","109","E","1976","70s RnB Disco Funk"
"Never Too Much (MM Edit)","Luther Vandross","2:57:34 PM","3:01:47 PM","00:04:13","1","","Never Too Much (MM Edit)","110","D","1981","80s RnB Soul Disco Boogie YachtRK"
"Edge Of Midnight (Ultimix)","Miley Cyrus x Stevie Nicks","2:59:40 PM","3:04:37 PM","00:04:57","2","","Edge Of Midnight (Ultimix)","110","Bm","2020","Pop"
"Saweetie feat. Jhené Aiko - Back To The Streets (Naken Flip)","NAKEN","3:01:47 PM","3:07:39 PM","00:05:52","1","","Saweetie feat. Jhené Aiko - Back To The Streets (Naken Flip)","110","E","2020",""
"Purple Hat (Dillon Francis Extended Remix)","SOFI TUKKER","3:05:07 PM","3:09:53 PM","00:04:46","2","","Purple Hat (Dillon Francis Extended Remix)","110","Em","2020","Dance"
"Kanye West - Stronger (Nick Bike's Redbone Edit) (Clean)","","3:08:04 PM","3:12:02 PM","00:03:58","1","","Kanye West - Stronger (Nick Bike's Redbone Edit) (Clean)","110","B","",""
"Megan Thee Stallion - Thot Shit (Freakish Nerd Dont Stop Funkin 4 Jamaica Bootleg) Video DIRTY","","3:10:03 PM","3:14:39 PM","00:04:36","2","","Megan Thee Stallion - Thot Shit (Freakish Nerd Dont Stop Funkin 4 Jamaica Bootleg) Video DIRTY","110","Cm","",""
"I Can't Go For That (Nick Bike Remix)","Hall & Oates","3:12:02 PM","3:16:32 PM","00:04:30","1","","I Can't Go For That (Nick Bike Remix)","110","C","","Other"
"Faith Evans ""Love Like This"" (King Most Redirection)","King Most","3:15:19 PM","3:19:03 PM","00:03:44","2","","Faith Evans ""Love Like This"" (King Most Redirection)","111","Dm","2018",""
