"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"normal_set_with_doubles","","3/17/2022 11:53:55 AM","3/17/2022 12:58:34 PM","01:04:39","","","normal_set_with_doubles","","","",""
"A Love Bizarre (Extended Version)","Sheila E (feat Prince)","11:55:37 AM","12:03:21 PM","00:07:44","2","","A Love Bizarre (Extended Version)","114","G#m","1985","Other"
"One Week (MCB Big Beat Edit)","Barenaked Ladies","12:00:21 PM","12:06:25 PM","00:06:04","1","","One Week (MCB Big Beat Edit)","113","A","","Other"
"Elevate My Mind (MCB Short Edit)","Stereo MCs","12:03:21 PM","12:08:51 PM","00:05:30","2","","Elevate My Mind (MCB Short Edit)","115","G#m","1991","Other"
"The Globe (SE) (Phase Edit)","Big Audio Dynamite","12:06:25 PM","12:11:01 PM","00:04:36","1","","The Globe (SE) (Phase Edit)","114","Bm","2013","90s"
"Love Come Down (MCB Edit)","Evelyn Champagne King","12:08:51 PM","12:13:15 PM","00:04:24","2","","Love Come Down (MCB Edit)","116","Ebm","","Other"
"When I Think of You (Kutcorners Remix)","Janet Jackson","12:11:01 PM","12:15:45 PM","00:04:44","1","","When I Think of You (Kutcorners Remix)","116","E","2019","Other"
"The Promise (SE) [VM EDIT]","When In Rome","12:13:32 PM","12:17:45 PM","00:04:13","2","","The Promise (SE) [VM EDIT]","117","C","","80s"
"Temptation (SE) (Marty Mar Edit)","Corina","12:16:15 PM","12:20:08 PM","00:03:53","1","","Temptation (SE) (Marty Mar Edit)","118","Cm","1991","90s"
"Catch Me I'm Falling (XMiX Edit)","Pretty Poison","12:18:32 PM","12:23:29 PM","00:04:57","2","","Catch Me I'm Falling (XMiX Edit)","120","F#m","2020","Party Classic"
"Love Me The Right Way '96 [Original Mix]","Rapination & Kym Mazelle","12:20:08 PM","12:25:40 PM","00:05:32","1","","Love Me The Right Way '96 [Original Mix]","120","G#m","1996","Dance & House"
"Space Cowboy (David Morales Remix) (SE) (Punto G Edit)","Jamiroquai","12:23:29 PM","12:28:07 PM","00:04:38","2","","Space Cowboy (David Morales Remix) (SE) (Punto G Edit)","120","Ebm","1994","90s"
"Bette Davis Eyes (Phase Edit)","Kim Carnes","12:26:31 PM","12:31:22 PM","00:04:51","1","","Bette Davis Eyes (Phase Edit)","120","Fm","1981","80s"
"All Night Long  - Safety First! Remix","Lionel Richie","12:28:53 PM","12:32:54 PM","00:04:01","2","","All Night Long  - Safety First! Remix","120","Ebm","2021","House"
"Shake It VIP","Krafty Kuts","12:31:22 PM","12:36:20 PM","00:04:58","1","","Shake It VIP","118","Gm","2021",""
"Cold Blooded","Rick James","12:34:45 PM","12:39:17 PM","00:04:32","2","","Cold Blooded","118","C#m","1997","R&B/Soul"
"Big Time (DJ Edit)","Peter Gabriel","12:37:27 PM","12:41:01 PM","00:03:34","1","","Big Time (DJ Edit)","115","G#m","1986","80s"
"What You Need  (Culture Shock Remix)","INXS","12:39:21 PM","12:44:42 PM","00:05:21","2","","What You Need  (Culture Shock Remix)","116","F#m","","Other"
"Erasure - A Little Respect (12-Inch Vocal Mix)","Erasure","12:41:01 PM","12:46:29 PM","00:05:28","1","","Erasure - A Little Respect (12-Inch Vocal Mix)","116","Cm","","Other"
"Silent Morning (Intro Clean)","Noel","12:45:00 PM","12:47:55 PM","00:02:55","2","","Silent Morning (Intro Clean)","116","Em","1987","Freestyle"
"Kiss (SE) (Punto G Edit)","Tom Jones","12:46:57 PM","12:49:47 PM","00:02:50","1","","Kiss (SE) (Punto G Edit)","116","Cm","1988","80s"
"3 AM Eternal (Short DJ Edit)","KLF ","12:47:55 PM","12:50:36 PM","00:02:41","2","","3 AM Eternal (Short DJ Edit)","117","Fm","1991","80s"
"Everybody Everybody (SE) (Phase Edit)","Black Box","12:49:47 PM","12:54:26 PM","00:04:39","1","","Everybody Everybody (SE) (Phase Edit)","118","Bbm","2013","90s"
"Everybody Everybody (SE) (Phase Edit)","Black Box","12:50:36 PM","12:52:13 PM","00:01:37","2","","Everybody Everybody (SE) (Phase Edit)","118","Bbm","2013","90s"
"American Boy (SE) (Phase Edit)","Estelle","12:52:13 PM","12:56:07 PM","00:03:54","2","","American Boy (SE) (Phase Edit)","118","Em","2008","R&B"
"IOU [1982]","Freeez","12:54:26 PM","12:58:34 PM","00:04:08","1","","IOU [1982]","118","Dm","","Blues"
"MISSY FLIP","Jabair","12:56:51 PM","12:58:34 PM","00:01:43","2","","MISSY FLIP","118","Ebm","2018",""
