"name","start time","end time","playtime","deck","notes","bpm","artist"
"4/16/22","4/16/22, 9:41:09 PM EDT","4/17/22, 1:48:55 AM EDT","04:07:46","","","",""
"Who Dat Girl (8Bar Remix)","9:41:09 PM EDT","10:04:17 PM EDT","00:23:08","1","","125","Flo Rida f./Akon"
"Rock That Body - Spryte Remix","10:00:02 PM EDT","10:05:17 PM EDT","00:05:15","2","","126","Black Eyed Peas"
"Disturbia - Steve Mcphail Remix","10:04:17 PM EDT","10:09:17 PM EDT","00:05:00","1","","126","Rihanna"
"Enough For California Gurls (Zillionaire Mashup) (Clean)","10:05:17 PM EDT","10:12:05 PM EDT","00:06:48","2","","124","Katy Perry x Aston Shuffle"
"On The Floor - Audiorokk Bed Edit (Dirty)","10:09:17 PM EDT","10:15:08 PM EDT","00:05:51","1","","124","Jennifer Lopez ft. Pitbull"
"Tonight (I'm Loving You) (Rivas 2021 Edit) Clean","10:12:05 PM EDT","10:18:02 PM EDT","00:05:57","2","","126","Enrique Iglesias & Ludacris vs Joe Stone"
"Beautiful Girls (Frequency X Remix) Ext Clean","10:15:08 PM EDT","10:19:22 PM EDT","00:04:14","1","","125","Sean Kingston"
"Don't Stop Without The Music (Zillionaire Mashup) Clean","10:18:02 PM EDT","10:21:52 PM EDT","00:03:50","2","","124","Rihanna vs Alyx Ander"
"Gimme More (Vandal On Da Track Remix)","10:19:22 PM EDT","10:24:07 PM EDT","00:04:45","1","","126","Britney Spears"
"American Boy - Safety First! Remix (Clean)","10:21:52 PM EDT","10:25:39 PM EDT","00:03:47","2","","124","Estelle ft. Kanye West"
"Sexy Bitch - Freejak Remix (DJcity Intro - Dirty)","10:24:07 PM EDT","10:27:53 PM EDT","00:03:46","1","","128","David Guetta ft. Akon"
"Dude - Level Up! & K-Kyoto Remix","10:25:39 PM EDT","10:29:41 PM EDT","00:04:02","2","","124","Beenie Man"
"Hold Yuh - Major Lazer Remix","10:27:53 PM EDT","10:32:00 PM EDT","00:04:07","1","","124","Gyptian ft Major Lazer"
"Pitbull - Calle Ocho","10:29:41 PM EDT","10:33:15 PM EDT","00:03:34","2","","128","Show Stoppers"
"ELECTRO BURNING (Kingston Big Room Blend) Feat. DJ Gregg R","10:32:36 PM EDT","10:34:35 PM EDT","00:01:59","1","","128","DJ Deville www.djdeville.com"
"Where Them Girls At (Dirty / Intro)","10:33:15 PM EDT","10:37:14 PM EDT","00:03:59","2","","130","David Guetta ft Flo Rida & Nicki Minaj"
"Bottom's Up (130-74 Transition) (Dirty)","10:34:35 PM EDT","10:38:08 PM EDT","00:03:33","1","","148","Anthem Kingz"
"Bottom's Up (130-74 Transition) (Dirty)","10:37:14 PM EDT","10:39:44 PM EDT","00:02:30","2","","148","Anthem Kingz"
"Bedrock (Diggz Wayne, Nicki, & Drake ONLY Edit) (Dirty)","10:38:08 PM EDT","10:41:56 PM EDT","00:03:48","1","","74","Young Money"
"Every Girl (Intro - Dirty)","10:39:44 PM EDT","10:42:56 PM EDT","00:03:12","2","","76","Young Money ft Lil Wayne, Drake, Jae Millz, & Mack Maine"
"Best I Ever Had (Intro - Dirty)","10:41:56 PM EDT","10:43:41 PM EDT","00:01:45","1","","81","Drake"
"Down On Me [REDRUM] NO HYPE (80bpm)","10:42:56 PM EDT","10:44:43 PM EDT","00:01:47","2","","160","Jeremih & 50 Cent"
"California Swag District - Teach Me How To Dougie (Intro - Dirty)","10:43:41 PM EDT","10:45:42 PM EDT","00:02:01","1","","170",""
"Paper Planes (Intro)","10:44:43 PM EDT","10:46:59 PM EDT","00:02:16","2","","86","M.I.A."
"Empire State Of Mind (Intro - Dirty)","10:45:42 PM EDT","10:47:48 PM EDT","00:02:06","1","","87","Jay-Z ft Alicia Keys"
"Swing Your Rag (Intro - Dirty)","10:46:59 PM EDT","10:48:42 PM EDT","00:01:43","2","","89","T.I."
"Say Aah (Intro - Clean)","10:47:48 PM EDT","10:49:16 PM EDT","00:01:28","1","","93","Trey Songz ft Fabolous"
"Say Aah (Intro - Clean)","10:48:42 PM EDT","10:49:57 PM EDT","00:01:15","2","","93","Trey Songz ft Fabolous"
"You Be Killin' Em (Intro - Dirty)","10:49:16 PM EDT","10:50:22 PM EDT","00:01:06","1","","94","Fabolous"
"Ball (Intro - Dirty)","10:49:57 PM EDT","10:51:30 PM EDT","00:01:33","2","","95","T.I. ft Lil Wayne"
"Make It Nasty (Intro - Dirty)","10:50:22 PM EDT","10:52:23 PM EDT","00:02:01","1","","98","Tyga"
"Up Down (Do This All Day) (Intro - Dirty)","10:51:30 PM EDT","10:53:33 PM EDT","00:02:03","2","","97","T-Pain ft. B.O.B."
"Nana (Intro - Dirty)","10:52:34 PM EDT","10:54:08 PM EDT","00:01:34","1","","97","Trey Songz"
"Ty Dolla S - Paranoid (Intro - Dirty)","10:53:33 PM EDT","10:54:32 PM EDT","00:00:59","2","","98","Ty Dolla S ft. B.O.B."
"Don't Tell 'Em (Intro - Dirty)","10:54:08 PM EDT","10:56:06 PM EDT","00:01:58","1","","98","Jeremih ft. YG"
"Don't Tell 'Em (Intro - Dirty)","10:54:32 PM EDT","10:57:58 PM EDT","00:03:26","2","","98","Jeremih ft. YG"
"Post To Be (Intro - Dirty)","10:56:06 PM EDT","10:58:33 PM EDT","00:02:27","1","","98","Omarion ft. Chris Brown & Jhene Aiko"
"Blueberry Faygo (Intro - Dirty)","10:57:58 PM EDT","10:59:13 PM EDT","00:01:15","2","","99","Lil Mosey"
"Savage (Remix) (Club Killers Redrum) (Intro - Dirty)","10:58:33 PM EDT","11:00:22 PM EDT","00:01:49","1","","90","Megan Thee Stallion ft Beyonce"
"Don't Start Now - Tall Boys 100-124 Transition","10:59:13 PM EDT","11:02:31 PM EDT","00:03:18","2","","100","Dua Lipa"
"Rain On Me (Scooter Epic Clap Intro)","11:00:22 PM EDT","","","1","","123","Lady Gaga & Ariana Grande"
"Time Of Our Lives x Don't Stop The Music (Chunky Dip, Chumpion & Jesse James Bootleg)","11:03:16 PM EDT","11:06:01 PM EDT","00:02:45","1","","122","Pitbull & Neyo vs Kastra & Rave Radio"
"Up High (Intro - Dirty)","11:05:20 PM EDT","11:07:38 PM EDT","00:02:18","2","","130","DJ Class"
"Yeah 3x - NASA Hook First Intro (Dirty)","11:06:01 PM EDT","11:08:58 PM EDT","00:02:57","1","","130","Chris Brown"
"Dynamite - DJ Deville Remix","11:07:38 PM EDT","11:09:47 PM EDT","00:02:09","2","","128","Taio Cruz"
"Like A G6 (Intro)","11:08:58 PM EDT","11:10:53 PM EDT","00:01:55","1","","125","FM ft Cataracs & Dev"
"Shots - NASA Put Your Hands Up Intro (Dirty)","11:09:47 PM EDT","11:12:43 PM EDT","00:02:56","2","","128","LMFAO ft Lil Jon"
"Pursuit Of Happiness - Steve Aoki Dance Remix (Intro - Dirty)","11:10:53 PM EDT","11:14:37 PM EDT","00:03:44","1","","128","Kid Cudi"
"All Night Longer (Intro - Dirty)","11:12:43 PM EDT","11:15:53 PM EDT","00:03:10","2","","127","Sammy Adams"
"Play Hard (Spender & Hill Remix) (Jay Spring Short Edit","11:14:37 PM EDT","11:17:37 PM EDT","00:03:00","1","","130","David Guetta Ft. Ne-Yo & Akon"
"Swing [DiscoTech Dirty Tran] [130-75 BPM]","11:15:53 PM EDT","11:18:30 PM EDT","00:02:37","2","","75","Savage"
"Crank That Trap To Twerk Trans","11:17:37 PM EDT","11:19:22 PM EDT","00:01:45","1","","105",""
"Rompe - Kevin D Remix","11:18:30 PM EDT","11:19:55 PM EDT","00:01:25","2","","101","Daddy Yankee"
"Dale Don Dale (Mozes Twerk Remix) (Jay Spring Short Edit)","11:19:22 PM EDT","11:20:49 PM EDT","00:01:27","1","","100","Don Omar Ft. Fabolous"
"Ginza - El Dusty Remix","11:19:55 PM EDT","11:21:07 PM EDT","00:01:12","2","","103","J Balvin"
"Quiere Beber Remix - DJ Santarosa Re-Drum","11:20:49 PM EDT","11:22:35 PM EDT","00:01:46","1","","98","Anuel AA ft. Romeo Santos"
"Despacito Remix - DJ Smerk Club Edit","11:21:07 PM EDT","11:24:09 PM EDT","00:03:02","2","","100","Luis Fonsi & Daddy Yankee ft. Justin Bieber"
"Baila Baila Baila (Intro)","11:22:35 PM EDT","11:24:46 PM EDT","00:02:11","1","","100","Ozuna"
"Que Calor - KidCutUp 100-126 Transition (Intro)","11:24:09 PM EDT","11:25:21 PM EDT","00:01:12","2","","100","Major Lazer"
"Mi Gente - Cedric Gervais Remix","11:24:46 PM EDT","11:26:52 PM EDT","00:02:06","1","","128","J Balvin & Willy William"
"Danza Kuduro - Kevin D & Sven & Rolf Remix","11:25:21 PM EDT","11:28:36 PM EDT","00:03:15","2","","130","Don Omar ft. Lucenzo"
"Low - Kruzo Remix","11:26:52 PM EDT","11:30:14 PM EDT","00:03:22","1","","128","Flo Rida ft. T-Pain"
"Starships (PeteDown 2021 Hybrid Edit) (Intro - Dirty)","11:28:36 PM EDT","11:32:32 PM EDT","00:03:56","2","","125","Nicki Minaj vs Chick Flix"
"Firework - Stavros Martina & Kevin D Remix","11:30:14 PM EDT","11:34:04 PM EDT","00:03:50","1","","124","Katy Perry"
"Hello - LaughTrax Remix","11:32:32 PM EDT","","","2","","126","Martin Solveig"
"Without Me - Dunisco Remix (Intro - Clean)","11:34:49 PM EDT","11:37:38 PM EDT","00:02:49","2","","126","Eminem"
"All the small things (Chuck & Norris Remix)","11:36:23 PM EDT","11:38:52 PM EDT","00:02:29","1","","130","Blink 182"
"Mr. Brightside - Chunky Dip Remix","11:37:38 PM EDT","11:41:03 PM EDT","00:03:25","2","","130","The Killers"
"Seven Nation Army - Joe Maz Remix","11:38:52 PM EDT","11:41:57 PM EDT","00:03:05","1","","126","The White Stripes"
"Wiz Hold Up Shelco To Og Trans","11:41:03 PM EDT","11:42:31 PM EDT","00:01:28","2","","130",""
"Grove St. Party (Hooks Only / Dirty / Super Short Edit) - 7A","11:42:02 PM EDT","11:43:42 PM EDT","00:01:40","1","","70","Waka Flocka Flame"
"Niggas In Paris (Intro - Dirty)","11:42:31 PM EDT","11:44:59 PM EDT","00:02:28","2","","70","Kanye West & Jay-Z"
"Birthday Song (Dirty) (Jay Spring Short Clap Out Edit)","11:43:42 PM EDT","11:45:58 PM EDT","00:02:16","1","","70","2 Chainz"
"Up All Night (DIRTY-SSM DJ Friendly Edit)","11:44:59 PM EDT","11:47:04 PM EDT","00:02:05","2","","62","Drake ft Nicki Minaj"
"Turn My Swag On (Intro - Clean)","11:45:58 PM EDT","11:47:32 PM EDT","00:01:34","1","","75","Soulja Boy"
"Dadadada (Konundrum Remix 75-112) Dirty","11:47:04 PM EDT","11:48:16 PM EDT","00:01:12","2","","75","Wuki, Chris Brown, Busta Rhymes"
"Pon De Floor (Frequency X Remix) Clean","11:47:32 PM EDT","11:48:57 PM EDT","00:01:25","1","","108","Major Lazer ft. Vybz Kartel"
"Bumaye (Jay Spring Dubplate)","11:48:16 PM EDT","11:50:34 PM EDT","00:02:18","2","","108","Major Lazer Ft. Busy Signal"
"Gyal You A Party Animal - BrainDeaD Remix","11:49:19 PM EDT","11:51:47 PM EDT","00:02:28","1","","103","Charly Black"
"Whine","11:50:38 PM EDT","11:52:24 PM EDT","00:01:46","2","","101","Mozez & Kid Cobra"
"Like Glue - Richastic Remix (Intro)","11:51:47 PM EDT","11:54:34 PM EDT","00:02:47","1","","104","Sean Paul"
"It Wasn't Me - Delirious & Alex K Puro Pari Remix","11:52:28 PM EDT","11:55:47 PM EDT","00:03:19","2","","100","Shaggy"
"Bananza (Belly Dancer) - Richastic Remix","11:54:34 PM EDT","11:56:43 PM EDT","00:02:09","1","","105","Akon"
"Hot In Herre - Delirious & Alex K Puro Pari Remix","11:55:47 PM EDT","11:57:42 PM EDT","00:01:55","2","","108","Nelly"
"Rack City - Richastic & AT-80 Remix (Intro - Dirty)","11:56:43 PM EDT","11:59:12 PM EDT","00:02:29","1","","99","Tyga"
"Headband - DJ Serg Sniper Remix (Dirty)","11:57:42 PM EDT","12:01:56 AM EDT","00:04:14","2","","102","B.O.B. ft. 2 Chainz"
"Birthday Cake - Richastic Remix (DJcity Intro - Dirty)","11:59:12 PM EDT","12:03:13 AM EDT","00:04:01","1","","98","Rihanna ft. Chris Brown"
"Freaks (Intro - Dirty)","12:02:18 AM EDT","12:04:58 AM EDT","00:02:40","2","","97","French Montana ft Nicki Minaj"
"Ms. New Booty (Intro - Dirty)","12:03:34 AM EDT","12:06:13 AM EDT","00:02:39","1","","97","Bubba Sparxxx ft Ying Yang Twins"
"Crazy In Love (Rivas 100-125 Trans) Clean","12:04:58 AM EDT","12:09:50 AM EDT","00:04:52","2","","100","Beyonce vs Clavette & Racket"
"We Found Love","12:06:13 AM EDT","12:10:59 AM EDT","00:04:46","1","","128","Rihanna ft Calvin Harris"
"Clarity - Rogerson Remix","12:09:50 AM EDT","12:12:11 AM EDT","00:02:21","2","","126","Zedd ft. Foxes"
"Levels - Sir Gio Remix","12:10:59 AM EDT","12:13:57 AM EDT","00:02:58","1","","126","Avicii"
"If I Lose Myself (Alesso vs OneRepublic) Clean","12:12:11 AM EDT","12:17:20 AM EDT","00:05:09","2","","126","OneRepublic"
"Memories - Rogerson Remix (Dirty)","12:13:57 AM EDT","12:20:14 AM EDT","00:06:17","1","","130","David Guetta ft. Kid Cudi"
"NO HANDS [TRANSITION 128-66 BPM] - DIRTY","12:17:20 AM EDT","12:20:53 AM EDT","00:03:33","2","","128","Waka Flocka Flame ft Roscoe Dash & Wale/DJ DEVILLE"
"No Lie (Diggz Hook Only Break Edit) (Dirty) (65.5 BPM) - 11A","12:20:14 AM EDT","12:22:08 AM EDT","00:01:54","1","","66","Drake"
