#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
1,"American Boy (Original Mix)","Estelle/Twopilots","Soave",171,114,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Estelle, TWOPILOTS - American Boy (Original Mix).mp3"
2,"Got The Love (House Of Prayers Remix)","Crazibiza/Dragonfly","PornoStar Records (pornostar)",347,123,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Crazibiza, Dragonfly - Got The Love (House Of Prayers Remix).mp3"
3,"Grown Up Groove","Demuja","OHX",309,126,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Demuja - Grown Up Groove.mp3"
4,"My Back Door (Supernova Remix)","Downtown Brothers, The","Downtown Underground",375,124,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/The Downtown Brothers - My Back Door (Supernova Remix).mp3"
5,"Pussyn (Original Mix)","Ruben Mandolini","Downtown Underground",410,123,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Ruben Mandolini - Pussyn (Original Mix).mp3"
6,"Your Love (Day Mix)","Luis Pitti","Under Station Records",461,126,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Luis Pitti - Your Love (Day Mix).mp3"
7,"Let Me Tell (Original Mix)","Brokenears","Downtown Underground",329,124,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Brokenears - Let Me Tell (Original Mix).mp3"
8,"My Table","Demuja","OHX",295,126,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Demuja - My Table.mp3"
9,"Timeless Love (Original Mix)","TENTE","Moiss Music",327,124,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/TENTE - Timeless Love (Original Mix).mp3"
10,"You Are My One and Only","Andy Bach","Loyal House Records",403,124,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Andy Bach - You Are My One and Only.mp3"
11,"New York (Original Mix)","Luis Pitti","Under Station Records",485,124,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Luis Pitti - New York (Original Mix).mp3"
12,"Our Devotion (Original Mix)","Ionic/Benjamin Bryan","Miaw",359,129,"House","","","",2022,"D:/Music/2020 Tracks/Collections/House/2023 Jan/Ionic, Benjamin Bryan - Our Devotion (Original Mix).mp3"
